phase	family	workload	mode	point	new_or_reuse	overlays_in_order	overlay_sha256	default_cap	predeclared_gate_or_interpretation
R1	A_L2_TO_DRAM_256	BICG	IO	A_l2dram256	NEW	SG3_QUEUE_CHAIN_A_L2_TO_DRAM_256.config	72808731824b738bb5b1b1d0be0f0809839c523719220d3429c5a2bda7cb7998	8192	L2->DRAM request-side queue headroom only
R1	A_L2_TO_DRAM_256	BICG	OO	A_l2dram256	NEW	SG3_QUEUE_CHAIN_A_L2_TO_DRAM_256.config	72808731824b738bb5b1b1d0be0f0809839c523719220d3429c5a2bda7cb7998	8192	L2->DRAM request-side queue headroom only
R1	B_SCHEDULER_ADMISSION_256	BICG	IO	B_scheduler256	NEW	SG3_QUEUE_CHAIN_B_SCHEDULER_256.config	68abc683238b808d81dd570be05de638c3301c752eed2da1bd64c9bd816355b7	8192	Scheduler/admission plus source-coupled shared-credit headroom
R1	B_SCHEDULER_ADMISSION_256	BICG	OO	B_scheduler256	NEW	SG3_QUEUE_CHAIN_B_SCHEDULER_256.config	68abc683238b808d81dd570be05de638c3301c752eed2da1bd64c9bd816355b7	8192	Scheduler/admission plus source-coupled shared-credit headroom
R1	C_RETURN_PATH	BICG	IO	C_return256_768	NEW	SG3_QUEUE_CHAIN_C_RETURN_256_768.config	8bda28f31dc8ef5c4c3f8b770babd6f9bf4b4627c550749a4c519375cb382870	8192	Bundled DRAM->L2 and return-path upper bound
R1	C_RETURN_PATH	BICG	OO	C_return256_768	NEW	SG3_QUEUE_CHAIN_C_RETURN_256_768.config	8bda28f31dc8ef5c4c3f8b770babd6f9bf4b4627c550749a4c519375cb382870	8192	Bundled DRAM->L2 and return-path upper bound
R1	D_FULL_QUEUE_CHAIN	BICG	IO	D_full	NEW	SG3_L2_MISS_QUEUE_128.config|SG3_QUEUE_CHAIN_D_FULL_256_768.config	4a52cada89a07a4255629cdb08bb31cc98fd24381b99183bc28cbbb7a81e5119|1e8e8fb8851de09bcbb081ebcb5875c9bb63a37997f969c6ced8f65b3e4e08f4	8192	All predeclared memory-side queue-chain buffering
R1	D_FULL_QUEUE_CHAIN	BICG	OO	D_full	NEW	SG3_L2_MISS_QUEUE_128.config|SG3_QUEUE_CHAIN_D_FULL_256_768.config	4a52cada89a07a4255629cdb08bb31cc98fd24381b99183bc28cbbb7a81e5119|1e8e8fb8851de09bcbb081ebcb5875c9bb63a37997f969c6ced8f65b3e4e08f4	8192	All predeclared memory-side queue-chain buffering
R1	E_DRAM2X	BICG	IO	E_dram1700	NEW	SG3_QUEUE_CHAIN_E_DRAM_1700.config	d1016b1fdeebe3feccd95df8d44999d25e496f1d93c1dde203059f7362bb9367	8192	Idealized 2x detailed-DRAM time-domain service upper bound
R1	E_DRAM2X	BICG	OO	E_dram1700	NEW	SG3_QUEUE_CHAIN_E_DRAM_1700.config	d1016b1fdeebe3feccd95df8d44999d25e496f1d93c1dde203059f7362bb9367	8192	Idealized 2x detailed-DRAM time-domain service upper bound
R1	F_FULL_QUEUE_CHAIN_DRAM2X	BICG	IO	F_full_dram1700	NEW	SG3_L2_MISS_QUEUE_128.config|SG3_QUEUE_CHAIN_F_FULL_DRAM_1700.config	4a52cada89a07a4255629cdb08bb31cc98fd24381b99183bc28cbbb7a81e5119|973f197c84d624ba68b0a0b004d32e68c4c4a9ef90bef76f135231ef8c195a0e	8192	Buffering plus service interaction
R1	F_FULL_QUEUE_CHAIN_DRAM2X	BICG	OO	F_full_dram1700	NEW	SG3_L2_MISS_QUEUE_128.config|SG3_QUEUE_CHAIN_F_FULL_DRAM_1700.config	4a52cada89a07a4255629cdb08bb31cc98fd24381b99183bc28cbbb7a81e5119|973f197c84d624ba68b0a0b004d32e68c4c4a9ef90bef76f135231ef8c195a0e	8192	Buffering plus service interaction
R3	PRIORITY_GATED	GESUMMV	IO_AND_OO	one_or_two_eligible_A_to_F	CONDITIONAL	corresponding_R1_overlay	predeclared_above	8192	Eligible only after BICG >=5% cycle reduction plus coherent telemetry; priority F,D,E,A,B,C; max two configurations
R4	F_ALL_HEADROOM_20MiB	BICG	IO_AND_OO	F_plus_capacity20MiB	CONDITIONAL	accepted_capacity2x_overlay|F_overlay	predeclared_above	8192	Only if F improves BICG >=5% in either mode; exactly IO and OO, no other capacity point
