attempt_uuid	stage	workload	mode	dimension	point	observer_in_immutable_config_chain	classification	final_diagnostic_use	reconciliation_boundary
babffe36-1b87-44af-95f5-7597921528e8	SG3.2	GESUMMV	IO	capacity	half	NO	OFF_CONTROL_SENSITIVITY_ATTEMPT	NOT_FINAL_TELEMETRY_DIAGNOSTIC	Natural exit and the frozen original-runner validator may qualify the controlled performance point only; a fresh observer-ON immutable attempt is required for required occupancy/lifetime telemetry.
f8557c25-b770-4799-939b-4f4f24bf8230	SG3.2	GESUMMV	OO	capacity	half	NO	OFF_CONTROL_SENSITIVITY_ATTEMPT	NOT_FINAL_TELEMETRY_DIAGNOSTIC	Natural exit and the frozen original-runner validator may qualify the controlled performance point only; a fresh observer-ON immutable attempt is required for required occupancy/lifetime telemetry.
124823d8-3bda-481e-bf43-83a1176387f3	SG3.2	GESUMMV	IO	capacity	double	NO	OFF_CONTROL_SENSITIVITY_ATTEMPT	NOT_FINAL_TELEMETRY_DIAGNOSTIC	Natural exit and the frozen original-runner validator may qualify the controlled performance point only; a fresh observer-ON immutable attempt is required for required occupancy/lifetime telemetry.
46f601e3-6751-40b5-9b17-d4593c0573d7	SG3.2	GESUMMV	OO	capacity	double	NO	OFF_CONTROL_SENSITIVITY_ATTEMPT	NOT_FINAL_TELEMETRY_DIAGNOSTIC	Natural exit and the frozen original-runner validator may qualify the controlled performance point only; a fresh observer-ON immutable attempt is required for required occupancy/lifetime telemetry.
a1c381e5-ca6d-4729-be73-054b24c6d98d	SG3.3	GESUMMV	IO	mshr	half	NO	OFF_CONTROL_SENSITIVITY_ATTEMPT	NOT_FINAL_TELEMETRY_DIAGNOSTIC	Natural exit and the frozen original-runner validator may qualify the controlled performance point only; a fresh observer-ON immutable attempt is required for required occupancy/lifetime telemetry.
9ddfe421-b543-4d91-a8c2-cb59a45d2ef5	SG3.3	GESUMMV	OO	mshr	half	NO	OFF_CONTROL_SENSITIVITY_ATTEMPT	NOT_FINAL_TELEMETRY_DIAGNOSTIC	Natural exit and the frozen original-runner validator may qualify the controlled performance point only; a fresh observer-ON immutable attempt is required for required occupancy/lifetime telemetry.
6c44bbf0-849c-4511-a7ba-ec2b526a7a63	SG3.3	GESUMMV	IO	mshr	double	NO	OFF_CONTROL_SENSITIVITY_ATTEMPT	NOT_FINAL_TELEMETRY_DIAGNOSTIC	Natural exit and the frozen original-runner validator may qualify the controlled performance point only; a fresh observer-ON immutable attempt is required for required occupancy/lifetime telemetry.
50c2a402-4642-4862-971b-ff5b4c8c7332	SG3.3	GESUMMV	OO	mshr	double	NO	OFF_CONTROL_SENSITIVITY_ATTEMPT	NOT_FINAL_TELEMETRY_DIAGNOSTIC	Natural exit and the frozen original-runner validator may qualify the controlled performance point only; a fresh observer-ON immutable attempt is required for required occupancy/lifetime telemetry.
2dd9d5b8-e4fe-4e4e-9c7a-3719908affec	SG3.4	GESUMMV	IO	cap	512	NO	OFF_CONTROL_SENSITIVITY_ATTEMPT	NOT_FINAL_TELEMETRY_DIAGNOSTIC	Natural exit and the frozen original-runner validator may qualify the controlled performance point only; a fresh observer-ON immutable attempt is required for required occupancy/lifetime telemetry.
c91b6fec-f306-4af0-b0de-db162e3f335a	SG3.4	GESUMMV	OO	cap	512	NO	OFF_CONTROL_SENSITIVITY_ATTEMPT	NOT_FINAL_TELEMETRY_DIAGNOSTIC	Natural exit and the frozen original-runner validator may qualify the controlled performance point only; a fresh observer-ON immutable attempt is required for required occupancy/lifetime telemetry.
0889099b-bf00-4db3-b7ed-0b5728557111	SG3.4	GESUMMV	IO	cap	8192	NO	OFF_CONTROL_SENSITIVITY_ATTEMPT	NOT_FINAL_TELEMETRY_DIAGNOSTIC	Natural exit and the frozen original-runner validator may qualify the controlled performance point only; a fresh observer-ON immutable attempt is required for required occupancy/lifetime telemetry.
48b91080-d802-4640-86de-c4e37c3b057b	SG3.4	GESUMMV	OO	cap	8192	NO	OFF_CONTROL_SENSITIVITY_ATTEMPT	NOT_FINAL_TELEMETRY_DIAGNOSTIC	Natural exit and the frozen original-runner validator may qualify the controlled performance point only; a fresh observer-ON immutable attempt is required for required occupancy/lifetime telemetry.
