schema	phase	dimension	point	workload	mode	expected_instructions	shared_baseline	launch_gate	evidence_boundary
SG3_G4_OBSERVER_ON_PLAN_V2	A_BASELINE	capacity	base	BICG	IO	145666048	YES	SG1_canonical_G6_priority_and_resource_slot	Executable default observer-ON baseline shared by capacity/MSHR/cap.
SG3_G4_OBSERVER_ON_PLAN_V2	A_BASELINE	capacity	base	BICG	OO	145666048	YES	SG1_canonical_G6_priority_and_resource_slot	Executable default observer-ON baseline shared by capacity/MSHR/cap.
SG3_G4_OBSERVER_ON_PLAN_V2	A_BASELINE	capacity	base	GESUMMV	IO	190918656	YES	SG1_canonical_G6_priority_and_resource_slot	Executable default observer-ON baseline shared by capacity/MSHR/cap.
SG3_G4_OBSERVER_ON_PLAN_V2	A_BASELINE	capacity	base	GESUMMV	OO	190918656	YES	SG1_canonical_G6_priority_and_resource_slot	Executable default observer-ON baseline shared by capacity/MSHR/cap.
SG3_G4_OBSERVER_ON_PLAN_V2	A_BASELINE	capacity	base	Btree	IO	444467849	YES	SG1_canonical_G6_priority_and_resource_slot	Executable default observer-ON baseline shared by capacity/MSHR/cap.
SG3_G4_OBSERVER_ON_PLAN_V2	A_BASELINE	capacity	base	Btree	OO	444467849	YES	SG1_canonical_G6_priority_and_resource_slot	Executable default observer-ON baseline shared by capacity/MSHR/cap.
SG3_G4_OBSERVER_ON_PLAN_V2	A_BASELINE	capacity	base	2DConvolution	IO	620347492	YES	SG1_canonical_G6_priority_and_resource_slot	Executable default observer-ON baseline shared by capacity/MSHR/cap.
SG3_G4_OBSERVER_ON_PLAN_V2	A_BASELINE	capacity	base	2DConvolution	OO	620347492	YES	SG1_canonical_G6_priority_and_resource_slot	Executable default observer-ON baseline shared by capacity/MSHR/cap.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	capacity	half	BICG	IO	145666048	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	capacity	half	BICG	OO	145666048	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	capacity	half	GESUMMV	IO	190918656	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	capacity	half	GESUMMV	OO	190918656	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	capacity	half	Btree	IO	444467849	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	capacity	half	Btree	OO	444467849	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	capacity	half	2DConvolution	IO	620347492	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	capacity	half	2DConvolution	OO	620347492	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	capacity	double	BICG	IO	145666048	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	capacity	double	BICG	OO	145666048	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	capacity	double	GESUMMV	IO	190918656	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	capacity	double	GESUMMV	OO	190918656	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	capacity	double	Btree	IO	444467849	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	capacity	double	Btree	OO	444467849	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	capacity	double	2DConvolution	IO	620347492	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	capacity	double	2DConvolution	OO	620347492	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	mshr	half	BICG	IO	145666048	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	mshr	half	BICG	OO	145666048	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	mshr	half	GESUMMV	IO	190918656	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	mshr	half	GESUMMV	OO	190918656	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	mshr	half	Btree	IO	444467849	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	mshr	half	Btree	OO	444467849	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	mshr	half	2DConvolution	IO	620347492	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	mshr	half	2DConvolution	OO	620347492	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	mshr	quad	BICG	IO	145666048	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	mshr	quad	BICG	OO	145666048	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	mshr	quad	GESUMMV	IO	190918656	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	mshr	quad	GESUMMV	OO	190918656	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	mshr	quad	Btree	IO	444467849	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	mshr	quad	Btree	OO	444467849	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	mshr	quad	2DConvolution	IO	620347492	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	mshr	quad	2DConvolution	OO	620347492	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	cap	512	BICG	IO	145666048	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
