snapshot_utc	workload	mode	dimension	point	cycles	instructions	l2_reservation_fails	guard_retry_inferred	validation	attempt_dir	evidence_boundary
2026-09-23T00:24:32Z	2DConvolution	IO	capacity	base	627590	620347492	4657343	N/A	PASS strict	 sg3_capacity_base_IO_2DConvolution_a998599e-8240-496e-8564-9d9058a37d73	A1 shared observer-ON baseline
2026-09-23T00:24:32Z	2DConvolution	OO	capacity	base	593208	620347492	2475747	N/A	PASS strict	 sg3_capacity_base_OO_2DConvolution_daf7fc4d-fee4-471f-9e66-26e65c533951	A1 shared observer-ON baseline
2026-09-23T00:24:32Z	BICG	IO	capacity	base	93942704	145666048	545898509	0	PASS strict	 sg3_capacity_base_IO_BICG_34224e99-a5fc-411d-bae2-7948ce9a7b1b	A1 difficult-workload baseline
2026-09-23T00:24:32Z	BICG	IO	capacity	half	103283097	145666048	159577046	0	PASS strict	 sg3_capacity_half_IO_BICG_07364742-f9bb-4f80-b534-d438829439c1	A2 coarse capacity screen
2026-09-23T00:24:32Z	BICG	IO	capacity	double	88082371	145666048	588950189	0	PASS strict	 sg3_capacity_double_IO_BICG_0f63c461-21b8-4776-849f-84c1bc4340e8	A2 coarse capacity screen
2026-09-23T00:24:32Z	BICG	IO	mshr	half	96474212	145666048	606536164	0	PASS strict	 sg3_mshr_half_IO_BICG_10dce534-c9ac-4607-9c29-8ac87e81ed41	A2 coarse MSHR screen
2026-09-23T00:24:32Z	BICG	IO	mshr	quad	94837064	145666048	541058827	0	PASS strict	 sg3_mshr_quad_IO_BICG_88e0d39d-9ff1-45cf-842e-aa96bc070486	A2 coarse MSHR screen
2026-09-23T00:24:32Z	BICG	IO	cap	512	24422555	145666048	51768866	0	PASS strict	 sg3_cap_512_IO_BICG_2493b232-d91d-4cc7-8d63-de30fa6f18ab	A2 coarse DTC-cap screen
2026-09-23T00:24:32Z	BICG	IO	cap	2048	59803803	145666048	315337203	0	PASS strict	 sg3_cap_2048_IO_BICG_af8c7a57-cab9-4f13-9ef5-c28fa2915073	A2 coarse DTC-cap screen
2026-09-23T00:24:32Z	BICG	OO	capacity	base	47231655	145666048	266141122	0	PASS strict	 sg3_capacity_base_OO_BICG_7d3e125c-20d2-4486-a0dd-bc81a488eeca	A1 difficult-workload baseline
2026-09-23T00:24:32Z	BICG	OO	capacity	half	68357766	145666048	96535803	0	PASS strict	 sg3_capacity_half_OO_BICG_d4e24031-d6af-4407-949c-5687c24e52f1	A2 coarse capacity screen
2026-09-23T00:24:32Z	BICG	OO	capacity	double	34825737	145666048	217888703	0	PASS strict	 sg3_capacity_double_OO_BICG_62ca482b-ada9-48d1-8922-801033f9b948	A2 coarse capacity screen
2026-09-23T00:24:32Z	BICG	OO	mshr	half	54109535	145666048	357219522	0	PASS strict	 sg3_mshr_half_OO_BICG_a5b1bf06-62bd-486b-a76e-bf00774b1768	A2 coarse MSHR screen
2026-09-23T00:24:32Z	BICG	OO	mshr	quad	46808797	145666048	260528303	0	PASS strict	 sg3_mshr_quad_OO_BICG_719ae610-5046-4eef-80ff-259706be09cc	A2 coarse MSHR screen
2026-09-23T00:24:32Z	BICG	OO	cap	512	18938635	145666048	32854538	0	PASS strict	 sg3_cap_512_OO_BICG_019c4ddf-2372-408f-847e-1b70efe90237	A2 coarse DTC-cap screen
2026-09-23T00:24:32Z	BICG	OO	cap	2048	35141974	145666048	181274068	0	PASS strict	 sg3_cap_2048_OO_BICG_8dbab0b8-95b2-45f7-b44c-5c670e3e497d	A2 coarse DTC-cap screen
2026-09-23T00:24:32Z	Btree	IO	capacity	base	244231	444467849	5159	N/A	PASS strict	 sg3_capacity_base_IO_Btree_aa23abd3-0411-4a71-9812-cccfe2e3944e	A1 shared observer-ON baseline
2026-09-23T00:24:32Z	Btree	OO	capacity	base	172719	444467849	6536	319	PASS V3 reconciliation	 sg3_capacity_base_OO_Btree_4b2f5a94-9e74-4ee9-accb-0bf421e540e3	319 merge-tag identity-guard retries are non-resource diagnostic only; excluded from L2 bottleneck attribution
