schema	refinement_type	stage	workload	mode	dimension	point	action
SG3_G4_OBSERVER_ON_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1/V2 plans	A1	BICG	IO	capacity	base	launch rolling
SG3_G4_OBSERVER_ON_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1/V2 plans	A1	BICG	OO	capacity	base	launch rolling
SG3_G4_OBSERVER_ON_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1/V2 plans	A1	GESUMMV	IO	capacity	base	launch rolling
SG3_G4_OBSERVER_ON_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1/V2 plans	A1	GESUMMV	OO	capacity	base	launch rolling
SG3_G4_OBSERVER_ON_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1/V2 plans	A1	Btree	IO	capacity	base	launch rolling
SG3_G4_OBSERVER_ON_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1/V2 plans	A1	Btree	OO	capacity	base	launch rolling
SG3_G4_OBSERVER_ON_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1/V2 plans	A1	2DConvolution	IO	capacity	base	launch rolling
SG3_G4_OBSERVER_ON_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1/V2 plans	A1	2DConvolution	OO	capacity	base	launch rolling
SG3_G4_OBSERVER_ON_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1/V2 plans	A2	BICG	IO	capacity	half	launch after own A1 strict PASS
SG3_G4_OBSERVER_ON_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1/V2 plans	A2	BICG	OO	capacity	half	launch after own A1 strict PASS
SG3_G4_OBSERVER_ON_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1/V2 plans	A2	GESUMMV	IO	capacity	half	launch after own A1 strict PASS
SG3_G4_OBSERVER_ON_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1/V2 plans	A2	GESUMMV	OO	capacity	half	launch after own A1 strict PASS
SG3_G4_OBSERVER_ON_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1/V2 plans	A2	BICG	IO	capacity	double	launch after own A1 strict PASS
SG3_G4_OBSERVER_ON_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1/V2 plans	A2	BICG	OO	capacity	double	launch after own A1 strict PASS
SG3_G4_OBSERVER_ON_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1/V2 plans	A2	GESUMMV	IO	capacity	double	launch after own A1 strict PASS
SG3_G4_OBSERVER_ON_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1/V2 plans	A2	GESUMMV	OO	capacity	double	launch after own A1 strict PASS
SG3_G4_OBSERVER_ON_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1/V2 plans	A2	BICG	IO	mshr	half	launch after own A1 strict PASS
SG3_G4_OBSERVER_ON_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1/V2 plans	A2	BICG	OO	mshr	half	launch after own A1 strict PASS
SG3_G4_OBSERVER_ON_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1/V2 plans	A2	GESUMMV	IO	mshr	half	launch after own A1 strict PASS
SG3_G4_OBSERVER_ON_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1/V2 plans	A2	GESUMMV	OO	mshr	half	launch after own A1 strict PASS
SG3_G4_OBSERVER_ON_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1/V2 plans	A2	BICG	IO	mshr	quad	launch after own A1 strict PASS
SG3_G4_OBSERVER_ON_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1/V2 plans	A2	BICG	OO	mshr	quad	launch after own A1 strict PASS
SG3_G4_OBSERVER_ON_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1/V2 plans	A2	GESUMMV	IO	mshr	quad	launch after own A1 strict PASS
SG3_G4_OBSERVER_ON_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1/V2 plans	A2	GESUMMV	OO	mshr	quad	launch after own A1 strict PASS
SG3_G4_OBSERVER_ON_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1/V2 plans	A2	BICG	IO	cap	512	launch after own A1 strict PASS
SG3_G4_OBSERVER_ON_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1/V2 plans	A2	BICG	OO	cap	512	launch after own A1 strict PASS
SG3_G4_OBSERVER_ON_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1/V2 plans	A2	GESUMMV	IO	cap	512	launch after own A1 strict PASS
SG3_G4_OBSERVER_ON_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1/V2 plans	A2	GESUMMV	OO	cap	512	launch after own A1 strict PASS
SG3_G4_OBSERVER_ON_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1/V2 plans	A2	BICG	IO	cap	2048	launch after own A1 strict PASS
SG3_G4_OBSERVER_ON_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1/V2 plans	A2	BICG	OO	cap	2048	launch after own A1 strict PASS
SG3_G4_OBSERVER_ON_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1/V2 plans	A2	GESUMMV	IO	cap	2048	launch after own A1 strict PASS
SG3_G4_OBSERVER_ON_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1/V2 plans	A2	GESUMMV	OO	cap	2048	launch after own A1 strict PASS
