stage	sweep_dimension	point_label	normalized_point	overlay	resolved_dl2_or_cap	held_fixed	classification	source_basis
SG3.2	L2_data_capacity	half	0.5x	config/SG3_L2_CAPACITY_HALF.config	S:128:128:8,L:B:m:L:L,A:192:4,32:0,32	line_size=128; atom=32; MSHR=192:4; queue=32; data_port=32; ROP=200; DTC mode/cap	IDEALIZED_CAPACITY_SENSITIVITY	SG3_L2_CONFIG_FIELD_MAP.tsv
SG3.2	L2_data_capacity	base	1x	FROZEN_FAST64_IO_OR_OO	S:128:128:16,L:B:m:L:L,A:192:4,32:0,32	line_size=128; atom=32; MSHR=192:4; queue=32; data_port=32; ROP=200; DTC mode/cap	IDEALIZED_CAPACITY_SENSITIVITY	SG3_L2_CONFIG_FIELD_MAP.tsv
SG3.2	L2_data_capacity	double	2x	config/SG3_L2_CAPACITY_DOUBLE.config	S:128:128:32,L:B:m:L:L,A:192:4,32:0,32	line_size=128; atom=32; MSHR=192:4; queue=32; data_port=32; ROP=200; DTC mode/cap	IDEALIZED_CAPACITY_SENSITIVITY	SG3_L2_CONFIG_FIELD_MAP.tsv
SG3.3	L2_MSHR_entries	half	0.5x	config/SG3_L2_MSHR_HALF.config	S:128:128:16,L:B:m:L:L,A:96:4,32:0,32	sets=128; ways=16; line_size=128; atom=32; merge=4; queue=32; data_port=32; ROP=200; DTC mode/cap	ONE_DIMENSIONAL_CONCURRENCY_RESOURCE_SENSITIVITY	SG3_L2_CONFIG_FIELD_MAP.tsv
SG3.3	L2_MSHR_entries	base	1x	FROZEN_FAST64_IO_OR_OO	S:128:128:16,L:B:m:L:L,A:192:4,32:0,32	sets=128; ways=16; line_size=128; atom=32; merge=4; queue=32; data_port=32; ROP=200; DTC mode/cap	ONE_DIMENSIONAL_CONCURRENCY_RESOURCE_SENSITIVITY	SG3_L2_CONFIG_FIELD_MAP.tsv
SG3.3	L2_MSHR_entries	double	2x	config/SG3_L2_MSHR_DOUBLE.config	S:128:128:16,L:B:m:L:L,A:384:4,32:0,32	sets=128; ways=16; line_size=128; atom=32; merge=4; queue=32; data_port=32; ROP=200; DTC mode/cap	ONE_DIMENSIONAL_CONCURRENCY_RESOURCE_SENSITIVITY	SG3_L2_CONFIG_FIELD_MAP.tsv
SG3.3	L2_MSHR_entries	quad	4x	config/SG3_L2_MSHR_QUAD.config	S:128:128:16,L:B:m:L:L,A:768:4,32:0,32	sets=128; ways=16; line_size=128; atom=32; merge=4; queue=32; data_port=32; ROP=200; DTC mode/cap	ONE_DIMENSIONAL_CONCURRENCY_RESOURCE_SENSITIVITY	SG3_L2_CONFIG_FIELD_MAP.tsv
SG3.4	DTC_lower_outstanding_cap	cap512	1/16x	config/SG3_DTC_CAP_512.config	512	GPU-wide DTC lower cap only; all L2 config and DTC mode frozen	ONE_DIMENSIONAL_DTC_INJECTION_SENSITIVITY	SG3_L2_CONFIG_FIELD_MAP.tsv
SG3.4	DTC_lower_outstanding_cap	cap1024	1/8x	config/SG3_DTC_CAP_1024.config	1024	GPU-wide DTC lower cap only; all L2 config and DTC mode frozen	ONE_DIMENSIONAL_DTC_INJECTION_SENSITIVITY	SG3_L2_CONFIG_FIELD_MAP.tsv
SG3.4	DTC_lower_outstanding_cap	cap2048	1/4x	config/SG3_DTC_CAP_2048.config	2048	GPU-wide DTC lower cap only; all L2 config and DTC mode frozen	ONE_DIMENSIONAL_DTC_INJECTION_SENSITIVITY	SG3_L2_CONFIG_FIELD_MAP.tsv
SG3.4	DTC_lower_outstanding_cap	cap4096	1/2x	config/SG3_DTC_CAP_4096.config	4096	GPU-wide DTC lower cap only; all L2 config and DTC mode frozen	ONE_DIMENSIONAL_DTC_INJECTION_SENSITIVITY	SG3_L2_CONFIG_FIELD_MAP.tsv
SG3.4	DTC_lower_outstanding_cap	cap8192	1x	config/SG3_DTC_CAP_8192.config	8192	GPU-wide DTC lower cap only; all L2 config and DTC mode frozen	ONE_DIMENSIONAL_DTC_INJECTION_SENSITIVITY	SG3_L2_CONFIG_FIELD_MAP.tsv
