mode	condition	cycles	instructions	cycle_change_vs_mode_default	dtc_outstanding_integral	core_tick_samples	avg_dtc_outstanding	dtc_outstanding_peak	lower_completed	lower_lifetime_sum_cycles	avg_lower_lifetime_cycles	max_lower_lifetime_cycles	l2_bank_tick_samples	l2_mshr_occupancy_integral	avg_l2_mshr_occupancy_per_bank	l2_missq_occupancy_integral	avg_l2_missq_occupancy_per_bank	l2_total_accesses	l2_total_misses	l2_total_pending_hits	MSHR_ENTRY_FAIL	MSHR_MERGE_ENTRY_FAIL	MISS_QUEUE_FULL	LINE_ALLOC_FAIL	MSHR_RW_PENDING	classified_resource_reservation_failure_total	data_port_util	fill_port_util	merge_tag_identity_guard_retry_inferred	validation	attempt_dir
IO	default	93942704	145666048	0.000000000	186340336496	93942704	1983.553044	NOT_REPORTED	17821394	186340336496	10455.991069	30811	3757708160	127187575298	33.847114	7747749167	2.061828	75480904	57928040	1871	399671276	200782	145882748	143703	0	545898509	0.005	0.015	0	PASS strict	sg3_capacity_base_IO_BICG_34224e99-a5fc-411d-bae2-7948ce9a7b1b
IO	capacity_2x	88082371	145666048	-0.062381992	181550547868	88082371	2061.145106	NOT_REPORTED	17819968	181550547868	10188.040061	30154	3523294840	137261310396	38.958224	8895391021	2.524736	75475200	54299512	616	427569871	17600	161362718	0	0	588950189	0.006	0.015	0	PASS strict	sg3_capacity_double_IO_BICG_0f63c461-21b8-4776-849f-84c1bc4340e8
IO	mshr_4x	94837064	145666048	0.009520271	186099913905	94837064	1962.312055	NOT_REPORTED	17821924	186099913905	10442.189850	34620	3793482560	133897636517	35.296758	17965271001	4.735825	75483024	58462564	3557	0	614692	525091628	15352507	0	541058827	0.004	0.015	0	PASS strict	sg3_mshr_quad_IO_BICG_88e0d39d-9ff1-45cf-842e-aa96bc070486
IO	cap_2048	59803803	145666048	-0.363401303	75873625560	59803803	1268.709041	NOT_REPORTED	17823318	75873625560	4256.986581	49803	2392152120	80860418299	33.802373	4982978179	2.083052	75488600	38830268	9196	220658385	1542980	85372492	7763346	0	315337203	0.015	0.016	0	PASS strict	sg3_cap_2048_IO_BICG_af8c7a57-cab9-4f13-9ef5-c28fa2915073
IO	cap_512	24422555	145666048	-0.740027123	11756875358	24422555	481.394160	NOT_REPORTED	17825362	11756875358	659.558855	24575	976902200	16416261029	16.804406	267167993	0.273485	75496776	12882344	693	46394252	19156	1519623	3835835	0	51768866	0.064	0.013	0	PASS strict	sg3_cap_512_IO_BICG_2493b232-d91d-4cc7-8d63-de30fa6f18ab
OO	default	47231655	145666048	0.000000000	99989743930	47231655	2117.006993	NOT_REPORTED	17814913	99989743930	5612.698975	27445	1889266200	63272696784	33.490620	2046276329	1.083106	75454980	29460660	1256	222327507	121052	43594150	98413	0	266141122	0.024	0.016	0	PASS strict	sg3_capacity_base_OO_BICG_7d3e125c-20d2-4486-a0dd-bc81a488eeca
OO	capacity_2x	34825737	145666048	-0.262661090	80923697865	34825737	2323.675099	NOT_REPORTED	17813116	80923697865	4542.927687	27306	1393029480	49497123931	35.532000	1911931779	1.372499	75447792	21201944	577	182019182	33569	35835952	0	0	217888703	0.039	0.015	0	PASS strict	sg3_capacity_double_OO_BICG_62ca482b-ada9-48d1-8922-801033f9b948
OO	mshr_4x	46808797	145666048	-0.008952852	98685825174	46808797	2108.275185	NOT_REPORTED	17815162	98685825174	5539.429009	27511	1872351880	69007896489	36.856265	8679871504	4.635812	75455976	29243472	2247	0	375821	238529154	21623328	0	260528303	0.025	0.016	0	PASS strict	sg3_mshr_quad_OO_BICG_719ae610-5046-4eef-80ff-259706be09cc
OO	cap_2048	35141974	145666048	-0.255965644	54903872956	35141974	1562.344590	NOT_REPORTED	17811997	54903872956	3082.409735	119182	1405678960	43390498491	30.868000	1553606119	1.105235	75443316	20754592	8699	149952084	1565234	22091866	7664884	0	181274068	0.039	0.015	0	PASS strict	sg3_cap_2048_OO_BICG_8dbab0b8-95b2-45f7-b44c-5c670e3e497d
OO	cap_512	18938635	145666048	-0.599026649	8990796423	18938635	474.733075	NOT_REPORTED	17803580	8990796423	504.999355	11198	757545400	11886407107	15.690686	555899339	0.733817	75409648	9272216	4671	23010411	775710	5483102	3585315	0	32854538	0.087	0.012	0	PASS strict	sg3_cap_512_OO_BICG_019c4ddf-2372-408f-847e-1b70efe90237
