target_id	run_id	dynamic_records	memory_instructions	lane_addresses	pages4k	pages64k	opcode_digest	node164_path
DECODE_FLASH_PRIMARY_1_STEP16	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step16_20260918T175706Z_891c75aa245e	1338915	156240	3473694	1834	117	FMUL:211774;FADD:130583;HMMA.16816.F32:129024;IADD3:69599;FSEL:65520;FMNMX:65520;FSETP.GEU.AND:65063;MUFU.EX2:64512;ISETP.GE.AND:56952;IMAD:38304;LDGSTS.E.BYPASS.LTC128B.128:36288;IMAD.MOV.U32:34272	/root/share/mnt164/huangrulin/c16_ai_workload/raw/C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step16_20260918T175706Z_891c75aa245e
DECODE_FLASH_PRIMARY_1_STEP24	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step24_20260918T180758Z_7e422ad46000	1338573	156240	3476382	1841	118	FMUL:211734;FADD:130563;HMMA.16816.F32:129024;IADD3:69579;FSEL:65520;FMNMX:65520;FSETP.GEU.AND:65043;MUFU.EX2:64512;ISETP.GE.AND:56952;IMAD:38304;LDGSTS.E.BYPASS.LTC128B.128:36288;IMAD.MOV.U32:34272	/root/share/mnt164/huangrulin/c16_ai_workload/raw/C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step24_20260918T180758Z_7e422ad46000
DECODE_FLASH_PRIMARY_1_STEP32	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step32_20260918T181849Z_ec68027e078b	1338661	156240	3479070	1848	118	FMUL:211744;FADD:130568;HMMA.16816.F32:129024;IADD3:69584;FSEL:65520;FMNMX:65520;FSETP.GEU.AND:65048;MUFU.EX2:64512;ISETP.GE.AND:56952;IMAD:38304;LDGSTS.E.BYPASS.LTC128B.128:36288;IMAD.MOV.U32:34272	/root/share/mnt164/huangrulin/c16_ai_workload/raw/C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step32_20260918T181849Z_ec68027e078b
DECODE_FLASH_PRIMARY_1_STEP4	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step4_20260918T173233Z_2a72a7c2ac3c	1338680	156240	3469662	1824	117	FMUL:211746;FADD:130569;HMMA.16816.F32:129024;IADD3:69585;FSEL:65520;FMNMX:65520;FSETP.GEU.AND:65049;MUFU.EX2:64512;ISETP.GE.AND:56952;IMAD:38304;LDGSTS.E.BYPASS.LTC128B.128:36288;IMAD.MOV.U32:34272	/root/share/mnt164/huangrulin/c16_ai_workload/raw/C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step4_20260918T173233Z_2a72a7c2ac3c
DECODE_FLASH_PRIMARY_1_STEP8	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step8_20260918T174617Z_dfb5c935b07a	1338170	156240	3471006	1827	117	FMUL:211686;FADD:130539;HMMA.16816.F32:129024;IADD3:69555;FSEL:65520;FMNMX:65520;FSETP.GEU.AND:65019;MUFU.EX2:64512;ISETP.GE.AND:56952;IMAD:38304;LDGSTS.E.BYPASS.LTC128B.128:36288;IMAD.MOV.U32:34272	/root/share/mnt164/huangrulin/c16_ai_workload/raw/C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step8_20260918T174617Z_dfb5c935b07a
DECODE_FLASH_PRIMARY_2_STEP16	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-2-step16_20260918T185037Z_0d352ffacee3	2534	188	5340	12	3	FFMA:404;IADD3:240;IMAD:141;BRA:86;ISETP.GE.AND:84;LDS:80;FADD:78;LDG.E.128:71;IADD3.X:71;IMAD.MOV.U32:69;MOV:67;LOP3.LUT:67	/root/share/mnt164/huangrulin/c16_ai_workload/raw/C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-2-step16_20260918T185037Z_0d352ffacee3
DECODE_FLASH_PRIMARY_2_STEP24	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-2-step24_20260918T190108Z_944cac17cd46	2534	188	5340	12	3	FFMA:404;IADD3:240;IMAD:141;BRA:86;ISETP.GE.AND:84;LDS:80;FADD:78;LDG.E.128:71;IADD3.X:71;IMAD.MOV.U32:69;MOV:67;LOP3.LUT:67	/root/share/mnt164/huangrulin/c16_ai_workload/raw/C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-2-step24_20260918T190108Z_944cac17cd46
DECODE_FLASH_PRIMARY_2_STEP32	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-2-step32_20260918T191137Z_37c0afcbcad2	2534	188	5340	12	3	FFMA:404;IADD3:240;IMAD:141;BRA:86;ISETP.GE.AND:84;LDS:80;FADD:78;LDG.E.128:71;IADD3.X:71;IMAD.MOV.U32:69;MOV:67;LOP3.LUT:67	/root/share/mnt164/huangrulin/c16_ai_workload/raw/C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-2-step32_20260918T191137Z_37c0afcbcad2
DECODE_FLASH_PRIMARY_2_STEP4	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-2-step4_20260918T182924Z_126c604f4d02	2534	188	5340	11	3	FFMA:404;IADD3:240;IMAD:141;BRA:86;ISETP.GE.AND:84;LDS:80;FADD:78;LDG.E.128:71;IADD3.X:71;IMAD.MOV.U32:69;MOV:67;LOP3.LUT:67	/root/share/mnt164/huangrulin/c16_ai_workload/raw/C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-2-step4_20260918T182924Z_126c604f4d02
DECODE_FLASH_PRIMARY_2_STEP8	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-2-step8_20260918T183956Z_985b71163cc9	2534	188	5340	12	3	FFMA:404;IADD3:240;IMAD:141;BRA:86;ISETP.GE.AND:84;LDS:80;FADD:78;LDG.E.128:71;IADD3.X:71;IMAD.MOV.U32:69;MOV:67;LOP3.LUT:67	/root/share/mnt164/huangrulin/c16_ai_workload/raw/C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-2-step8_20260918T183956Z_985b71163cc9
