state	stride_bytes	locations	warps	policy	replicate	samples	median	p10	p90	minimum	maximum
CACHE_GLOBAL_VARIANT	16384	1024	1	cg	0	50	293.0	293.0	294.0	293.0	443.0
CACHE_GLOBAL_VARIANT	2097152	1024	1	cg	0	50	303.0	303.0	303.0	303.0	312.0
CACHE_GLOBAL_VARIANT	262144	1024	1	cg	0	50	302.0	302.0	303.0	301.0	447.0
CACHE_GLOBAL_VARIANT	4096	1024	1	cg	0	50	293.0	293.0	294.0	293.0	390.0
CACHE_GLOBAL_VARIANT	4096	2048	1	cg	0	50	293.0	293.0	307.0	292.0	636.0
CACHE_GLOBAL_VARIANT	4096	512	1	cg	0	50	293.0	293.0	293.0	293.0	293.0
CACHE_GLOBAL_VARIANT	65536	1024	1	cg	0	50	298.0	298.0	299.0	298.0	438.0
CACHE_GLOBAL_VARIANT	65536	512	1	cg	0	50	293.0	293.0	293.0	293.0	294.0
CONCURRENCY_SURFACE	2097152	1024	1	default	0	50	169.5	110.0	240.0	89.0	309.0
CONCURRENCY_SURFACE	2097152	1024	16	default	0	800	115.0	66.0	186.0	55.0	266.0
CONCURRENCY_SURFACE	2097152	1024	2	default	0	100	180.5	87.0	243.0	62.0	308.0
CONCURRENCY_SURFACE	2097152	1024	4	default	0	200	179.0	103.0	260.0	62.0	307.0
CONCURRENCY_SURFACE	2097152	1024	8	default	0	400	138.5	68.0	230.0	52.0	297.0
CONCURRENCY_SURFACE	262144	1024	1	default	0	50	154.5	93.0	232.0	63.0	353.0
CONCURRENCY_SURFACE	262144	1024	16	default	0	800	108.0	62.0	187.0	55.0	267.0
CONCURRENCY_SURFACE	262144	1024	2	default	0	100	181.5	93.0	254.0	62.0	306.0
CONCURRENCY_SURFACE	262144	1024	4	default	0	200	174.0	98.0	262.0	57.0	295.0
CONCURRENCY_SURFACE	262144	1024	8	default	0	400	121.5	64.0	231.0	53.0	299.0
CONCURRENCY_SURFACE	4096	1024	1	default	0	50	167.0	88.0	227.0	59.0	298.0
CONCURRENCY_SURFACE	4096	1024	16	default	0	800	106.0	61.0	194.0	54.0	278.0
CONCURRENCY_SURFACE	4096	1024	2	default	0	100	175.0	102.0	237.0	54.0	298.0
CONCURRENCY_SURFACE	4096	1024	4	default	0	200	176.5	88.0	249.0	60.0	293.0
CONCURRENCY_SURFACE	4096	1024	8	default	0	400	136.5	67.0	222.0	53.0	273.0
CONCURRENCY_SURFACE	65536	1024	1	default	0	50	164.5	88.0	240.0	67.0	303.0
