state	replicate	stride_bytes	locations	bytes	warps	steps	samples	policy	warmup_batches	thrash_bytes	cycles_per_load	overhead_cycles
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	294	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	256	1048576	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	512	2097152	1	512	50	cg	2	0	294	0
CG_TARGETED	0	4096	512	2097152	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	512	2097152	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	512	2097152	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	512	2097152	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	512	2097152	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	512	2097152	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	512	2097152	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	512	2097152	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	512	2097152	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	512	2097152	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	512	2097152	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	512	2097152	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	512	2097152	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	512	2097152	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	512	2097152	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	512	2097152	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	512	2097152	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	512	2097152	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	512	2097152	1	512	50	cg	2	0	293	0
CG_TARGETED	0	4096	512	2097152	1	512	50	cg	2	0	293	0
