target_id	run_id	dynamic_records	memory_instructions	lane_addresses	pages4k	pages64k	opcode_digest	node164_path
DECODE_FLASH_PRIMARY_1_STEP16_OCC0	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step16-occ0_20260918T202949Z_815d8cd66f5b	1345325	156240	3473694	1834	117	FMUL:212530;FADD:130961;HMMA.16816.F32:129024;IADD3:69977;FSEL:65520;FMNMX:65520;FSETP.GEU.AND:65441;MUFU.EX2:64512;ISETP.GE.AND:56952;IMAD:38304;LDGSTS.E.BYPASS.LTC128B.128:36288;IMAD.MOV.U32:34272	/root/share/mnt164/huangrulin/c16_ai_workload/raw/C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step16-occ0_20260918T202949Z_815d8cd66f5b
DECODE_FLASH_PRIMARY_1_STEP16_OCC23	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step16-occ23_20260918T205135Z_cfc345f7b4ed	1338066	156240	3473694	1834	117	FMUL:211674;FADD:130533;HMMA.16816.F32:129024;IADD3:69549;FSEL:65520;FMNMX:65520;FSETP.GEU.AND:65013;MUFU.EX2:64512;ISETP.GE.AND:56952;IMAD:38304;LDGSTS.E.BYPASS.LTC128B.128:36288;IMAD.MOV.U32:34272	/root/share/mnt164/huangrulin/c16_ai_workload/raw/C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step16-occ23_20260918T205135Z_cfc345f7b4ed
DECODE_FLASH_PRIMARY_1_STEP16_OCC8	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step16-occ8_20260918T204044Z_d6f66d6f3430	1338389	156240	3473694	1834	117	FMUL:211712;FADD:130552;HMMA.16816.F32:129024;IADD3:69568;FSEL:65520;FMNMX:65520;FSETP.GEU.AND:65032;MUFU.EX2:64512;ISETP.GE.AND:56952;IMAD:38304;LDGSTS.E.BYPASS.LTC128B.128:36288;IMAD.MOV.U32:34272	/root/share/mnt164/huangrulin/c16_ai_workload/raw/C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step16-occ8_20260918T204044Z_d6f66d6f3430
DECODE_FLASH_PRIMARY_1_STEP1_OCC0	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step1-occ0_20260918T192427Z_e517c4e79aa4	1345686	156240	3468654	1821	118	FMUL:212574;FADD:130983;HMMA.16816.F32:129024;IADD3:69999;FSEL:65520;FMNMX:65520;FSETP.GEU.AND:65463;MUFU.EX2:64512;ISETP.GE.AND:56952;IMAD:38304;LDGSTS.E.BYPASS.LTC128B.128:36288;IMAD.MOV.U32:34272	/root/share/mnt164/huangrulin/c16_ai_workload/raw/C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step1-occ0_20260918T192427Z_e517c4e79aa4
DECODE_FLASH_PRIMARY_1_STEP1_OCC23	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step1-occ23_20260918T194612Z_80a57e6b7699	1338644	156240	3468654	1821	117	FMUL:211742;FADD:130567;HMMA.16816.F32:129024;IADD3:69583;FSEL:65520;FMNMX:65520;FSETP.GEU.AND:65047;MUFU.EX2:64512;ISETP.GE.AND:56952;IMAD:38304;LDGSTS.E.BYPASS.LTC128B.128:36288;IMAD.MOV.U32:34272	/root/share/mnt164/huangrulin/c16_ai_workload/raw/C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step1-occ23_20260918T194612Z_80a57e6b7699
DECODE_FLASH_PRIMARY_1_STEP1_OCC8	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step1-occ8_20260918T193521Z_613b47bbde72	1338909	156240	3468654	1821	117	FMUL:211774;FADD:130583;HMMA.16816.F32:129024;IADD3:69599;FSEL:65520;FMNMX:65520;FSETP.GEU.AND:65063;MUFU.EX2:64512;ISETP.GE.AND:56952;IMAD:38304;LDGSTS.E.BYPASS.LTC128B.128:36288;IMAD.MOV.U32:34272	/root/share/mnt164/huangrulin/c16_ai_workload/raw/C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step1-occ8_20260918T193521Z_613b47bbde72
DECODE_FLASH_PRIMARY_1_STEP24_OCC0	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step24-occ0_20260918T210227Z_c4857ce381b3	1345652	156240	3476382	1841	118	FMUL:212568;FADD:130980;HMMA.16816.F32:129024;IADD3:69996;FSEL:65520;FMNMX:65520;FSETP.GEU.AND:65460;MUFU.EX2:64512;ISETP.GE.AND:56952;IMAD:38304;LDGSTS.E.BYPASS.LTC128B.128:36288;IMAD.MOV.U32:34272	/root/share/mnt164/huangrulin/c16_ai_workload/raw/C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step24-occ0_20260918T210227Z_c4857ce381b3
DECODE_FLASH_PRIMARY_1_STEP24_OCC23	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step24-occ23_20260918T212415Z_ea5e61f7550c	1338646	156240	3476382	1841	118	FMUL:211742;FADD:130567;HMMA.16816.F32:129024;IADD3:69583;FSEL:65520;FMNMX:65520;FSETP.GEU.AND:65047;MUFU.EX2:64512;ISETP.GE.AND:56952;IMAD:38304;LDGSTS.E.BYPASS.LTC128B.128:36288;IMAD.MOV.U32:34272	/root/share/mnt164/huangrulin/c16_ai_workload/raw/C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step24-occ23_20260918T212415Z_ea5e61f7550c
DECODE_FLASH_PRIMARY_1_STEP24_OCC8	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step24-occ8_20260918T211322Z_1f2536c3a62a	1338234	156240	3476382	1841	118	FMUL:211694;FADD:130543;HMMA.16816.F32:129024;IADD3:69559;FSEL:65520;FMNMX:65520;FSETP.GEU.AND:65023;MUFU.EX2:64512;ISETP.GE.AND:56952;IMAD:38304;LDGSTS.E.BYPASS.LTC128B.128:36288;IMAD.MOV.U32:34272	/root/share/mnt164/huangrulin/c16_ai_workload/raw/C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step24-occ8_20260918T211322Z_1f2536c3a62a
DECODE_FLASH_PRIMARY_1_STEP32_OCC0	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step32-occ0_20260918T213506Z_2a78259b401b	1345332	156240	3479070	1848	118	FMUL:212532;FADD:130962;HMMA.16816.F32:129024;IADD3:69978;FSEL:65520;FMNMX:65520;FSETP.GEU.AND:65442;MUFU.EX2:64512;ISETP.GE.AND:56952;IMAD:38304;LDGSTS.E.BYPASS.LTC128B.128:36288;IMAD.MOV.U32:34272	/root/share/mnt164/huangrulin/c16_ai_workload/raw/C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step32-occ0_20260918T213506Z_2a78259b401b
DECODE_FLASH_PRIMARY_1_STEP32_OCC23	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step32-occ23_20260918T215651Z_23f7dd569a44	1338285	156240	3479070	1848	118	FMUL:211700;FADD:130546;HMMA.16816.F32:129024;IADD3:69562;FSEL:65520;FMNMX:65520;FSETP.GEU.AND:65026;MUFU.EX2:64512;ISETP.GE.AND:56952;IMAD:38304;LDGSTS.E.BYPASS.LTC128B.128:36288;IMAD.MOV.U32:34272	/root/share/mnt164/huangrulin/c16_ai_workload/raw/C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step32-occ23_20260918T215651Z_23f7dd569a44
