risk_id	component	issue	classification	evidence_or_observation	performance_or_correctness_impact	minimum_resolution	must_resolve_before_architecture_labeled_C5
R01	Weight Segment mapping	Segment and normal mapper return identity-like ppn=vpn; descriptor has no PA mapping	HIGH_MODEL_RISK	Frozen Core translation backend and weight_segment_map::translate return VPN-derived PPN	Bypasses VA-to-PA, contiguity, remap and PA arithmetic; can materially change hit latency and correctness	Approve contiguous-PA descriptor with pinning proof or a timed/coherent indirect mapping	YES
R02	Weight classification	OBJECT_WEIGHT object map gates segment eligibility but is simulator metadata	HIGH_MODEL_RISK	Frozen state machine classifies object before segment hit; map parser is not hardware provenance	Hardware cannot intrinsically know ML object identity; a tenant could otherwise label arbitrary VA	Privileged driver installs context-bound verified range descriptors; object map becomes telemetry only	YES
R03	Segment ingress	No Segment port, bank, queue, or backpressure state	HIGH_MODEL_RISK	35 clusters each have 1 L1 port; Segment lookup only receives ready_cycle=cycle+latency	Shared 1-port versus per-SM/multi-bank design can queue and change both hits and misses	Choose placement/topology, aggregate ports, queue depth and conflict timing	YES
R04	Parallel L1 ordering	State machine waits L1 and Segment; L1 hit waits Segment completion	ARCHITECTURE_DECISION_REQUIRED	Tready=max(TL1,Tsegment+queue); current equal 10cy masks delay	Queue or longer Segment lookup can hurt every L1 hit; L1-first/cancel changes semantics	Approve wait-both versus L1-first/cancel policy and completion ownership	YES
R05	10-cycle Segment latency	Fixed 10cy is not decomposed into compare, PA, permission, epoch, routing or queue	MODEL_ASSUMPTION_NEEDS_VALIDATION	Config fixes L1=10cy and Segment=10cy; no topology is modeled	C7 break-even changes once service/queue latency changes	Derive latency from chosen symbolic microarchitecture or calibrate a bounded model	YES
R06	Descriptor lifecycle	No context, permissions, mapping kind, epoch, install/revoke or shootdown state	REQUIRED_BUT_UNMODELED	Software descriptor stores only start/end and current requests use ASID 0	Stale PA/permissions after migration, remap, free or ASID reuse are correctness failures	Implement/validate runtime contract with atomic update and epoch or invalidation	YES
R07	Multi-tenant scaling	N=1 only; no per-context quota, overflow, replica or update scaling	REQUIRED_BUT_UNMODELED	Current config has one descriptor and no context-tagged table	N=4/16/64 changes storage, compare topology and isolation	Choose context-indexed capacity/placement/overflow policy and report symbolic scaling	YES
R08	Boundary semantics	Only complete request within descriptor hits	MODELED_AND_REASONABLE	C7 shows 100% declared range coverage; cross-boundary request conservatively misses	Conservative fallback preserves correctness; affects coverage only	Retain explicit boundary test and describe tail-page policy	NO
R09	Resource counters	Suppressed counters are state-path counters, not physical counterfactual resource events	MODELED_AND_REASONABLE	C4 conservation shows 512 semantic suppressions while MSHR merging reduces physical events	Avoids false claim that 512 independent walks/PTEs were removed	Keep labels and avoid physical savings claim without counterfactual model	NO
R10	Sub-entry provenance	16-leaf semantics are authorized approximation, not target-exact evidence	MODEL_ASSUMPTION_NEEDS_VALIDATION	C1 froze REFERENCE_APPROX_SUBENTRY_16 after evidence audit	Cannot support target-reference fidelity claim	Retain label; obtain reference details only if target-fidelity claim is later needed	NO
R11	Sub-entry budget	768 groups can hold 12,288 leaves versus 768 exact pages	HIGH_MODEL_RISK	16 leaf slots/group; same config entry parameter reused under changed unit	Can falsely attribute raw capacity provisioning to compression/replacement benefit	Choose equal-bit G or leaf-capacity-matched exact baseline	YES
R12	Sub-entry timing	Base-tag compare plus leaf mux/fill are all folded into fixed 80cy	MODEL_ASSUMPTION_NEEDS_VALIDATION	Source uses group hit/leaf select but config gives one L2 latency	Critical path, banking and fill conflicts may differ from exact TLB	Specify tag/data array topology, fill arbitration and latency policy	YES
R13	Sub-entry invalidation	Leaf/group scoped invalidate, racing fills, ASID reuse and page migration not hardware modeled	REQUIRED_BUT_UNMODELED	Candidate carries software ASID/page size but no hardware invalidation protocol	Stale sibling leaves or context leakage are correctness risks	Define group/leaf epoch/shootdown behavior and test it before claim	YES
R14	Superpage fairness	Candidate rejects 2MiB while standard exact mode supports it	ARCHITECTURE_DECISION_REQUIRED	C1 scope is 64KiB-only; superpage overlap/promotion unimplemented	Comparison can exclude a meaningful same-budget alternative	Approve page-size workload/OS policy and include or explicitly bound 2MiB alternative	YES
R15	PWC alternative	128 PWC entries have unknown payload and cannot be compared by raw count	REQUIRED_BUT_UNMODELED	Config gives PWC entry count/latency only	Can make storage allocation comparison unfair	Define PWC tag/pointer state, ports and total bit budget	YES
R16	C4 bounded scope	Three-kernel replay observes one valid subentry leaf and a static map	MODEL_ASSUMPTION_NEEDS_VALIDATION	C4/C7 recorded no existing-group fill or dynamic lifecycle events	Does not exercise occupancy, replacement, multi-context or update behavior	Do not generalize; use later bounded tests only after C5 gate is cleared	NO
R17	Exact-once front end	Parallel state machine has aligned data/store/atomic telemetry in C4	MODELED_AND_REASONABLE	C4 frontend hashes match across profiles and directed tests passed	Supports simulator semantic ownership, not hardware protocol completeness	Retain regression evidence when any approved model work begins	NO
