timestamp_utc	task	state	detail
2026-09-08T01:11:59Z	E01	NOT_STARTED	B11 initialized; no heavy work has started
2026-09-08T01:11:59Z	E02	NOT_STARTED	B11 initialized; no heavy work has started
2026-09-08T01:11:59Z	E03	NOT_STARTED	B11 initialized; no heavy work has started
2026-09-08T01:11:59Z	E04	NOT_STARTED	B11 initialized; no heavy work has started
2026-09-08T01:11:59Z	E05	NOT_STARTED	B11 initialized; no heavy work has started
2026-09-08T01:11:59Z	E06	NOT_STARTED	B11 initialized; no heavy work has started
2026-09-08T01:11:59Z	E07	NOT_STARTED	B11 initialized; no heavy work has started
2026-09-08T01:11:59Z	E08	NOT_STARTED	B11 initialized; no heavy work has started
2026-09-08T01:11:59Z	E09	NOT_STARTED	B11 initialized; no heavy work has started
2026-09-08T01:11:59Z	E10	NOT_STARTED	B11 initialized; no heavy work has started
2026-09-08T01:12:19Z	E01	NOT_STARTED	RESOURCE_DEFERRED MEMAVAILABLE,SWAPFREE; retry after 300s
2026-09-08T01:17:29Z	E01	NOT_STARTED	RESOURCE_DEFERRED MEMAVAILABLE,SWAPFREE; retry after 300s
2026-09-08T01:22:39Z	E01	NOT_STARTED	RESOURCE_DEFERRED MEMAVAILABLE,SWAPFREE; retry after 300s
2026-09-08T01:25:20Z	E01	NOT_STARTED	RESOURCE_DEFERRED MEMAVAILABLE,SWAPFREE; retry after 300s
2026-09-08T01:30:30Z	E01	NOT_STARTED	RESOURCE_DEFERRED MEMAVAILABLE,SWAPFREE; retry after 300s
2026-09-08T01:35:40Z	E01	NOT_STARTED	RESOURCE_DEFERRED MEMAVAILABLE,SWAPFREE; retry after 300s
2026-09-08T01:40:50Z	E01	NOT_STARTED	RESOURCE_DEFERRED MEMAVAILABLE,SWAPFREE; retry after 300s
2026-09-08T01:46:00Z	E01	NOT_STARTED	RESOURCE_DEFERRED MEMAVAILABLE,SWAPFREE; retry after 300s
2026-09-08T01:51:10Z	E01	NOT_STARTED	RESOURCE_DEFERRED MEMAVAILABLE,SWAPFREE; retry after 300s
2026-09-08T01:54:37Z	E01	RUNNING	E01-generic: resource gate passed; shared heavy-slot lock held; effective B heavy concurrency=1
2026-09-08T01:55:07Z	E01	FAILED_DIAGNOSING	B9 executor exit=1; log=/workspace/vm-spec-farm/b11-goal/attempt_logs/20260908T015437Z_E01-generic.log; no blind retry
2026-09-08T01:56:30Z	E01	RUNNING	E01-generic: resource gate passed; shared heavy-slot lock held; effective B heavy concurrency=1
2026-09-08T01:57:10Z	E01	RUNNING	E01-pwc32: resource gate passed; shared heavy-slot lock held; effective B heavy concurrency=1
2026-09-08T01:57:40Z	E01	PASS	all frozen B9 units completed with their task completion contract
2026-09-08T01:57:50Z	E02	RUNNING	E02-generic: resource gate passed; shared heavy-slot lock held; effective B heavy concurrency=1
2026-09-08T01:58:30Z	E02	NOT_STARTED	ADAPTIVE_RESOURCE_V2 heavy-slot lock busy; retry after 60s
2026-09-08T01:59:40Z	E02	RUNNING	E02-pwc512: resource gate passed; shared heavy-slot lock held; effective B heavy concurrency=1
2026-09-08T02:00:10Z	E02	PASS	all frozen B9 units completed with their task completion contract
2026-09-08T02:00:20Z	E03	RUNNING	E03-generic: resource gate passed; shared heavy-slot lock held; effective B heavy concurrency=1
2026-09-08T02:01:00Z	E03	RUNNING	E03-pwcideal: resource gate passed; shared heavy-slot lock held; effective B heavy concurrency=1
2026-09-08T02:01:30Z	E03	PASS	all frozen B9 units completed with their task completion contract
2026-09-08T02:01:40Z	E04	RUNNING	E04-generic64k: resource gate passed; shared heavy-slot lock held; effective B heavy concurrency=1
2026-09-08T02:02:20Z	E04	RUNNING	E04-page2mb: resource gate passed; shared heavy-slot lock held; effective B heavy concurrency=1
2026-09-08T02:02:51Z	E04	PASS	all frozen B9 units completed with their task completion contract
2026-09-08T02:03:01Z	E05	RUNNING	E05-generic: resource gate passed; shared heavy-slot lock held; effective B heavy concurrency=1
2026-09-08T02:03:41Z	E05	RUNNING	E05-disabled: resource gate passed; shared heavy-slot lock held; effective B heavy concurrency=1
2026-09-08T02:04:11Z	E05	PASS	all frozen B9 units completed with their task completion contract
2026-09-08T02:04:21Z	E06	RUNNING	E06-generic: resource gate passed; shared heavy-slot lock held; effective B heavy concurrency=1
2026-09-08T02:05:01Z	E06	RUNNING	E06-ideal: resource gate passed; shared heavy-slot lock held; effective B heavy concurrency=1
2026-09-08T02:05:31Z	E06	PASS	all frozen B9 units completed with their task completion contract
2026-09-08T02:05:41Z	E07	RUNNING	E07: resource gate passed; shared heavy-slot lock held; effective B heavy concurrency=1
2026-09-08T02:06:11Z	E07	FAILED_DIAGNOSING	B9 executor exit=1; log=/workspace/vm-spec-farm/b11-goal/attempt_logs/20260908T020541Z_E07.log; no blind retry
2026-09-08T02:06:57Z	E01	PASS	frozen completion contract already satisfied; preserved valid evidence
2026-09-08T02:06:57Z	E02	PASS	frozen completion contract already satisfied; preserved valid evidence
