timestamp_utc	policy_version	task	arm	task_class	peak_rss_kb	mem_before_kb	mem_after_kb	memory_span_kb	time_v_path
2026-09-08T01:57:00Z	ADAPTIVE_RESOURCE_V2	E01	E01-generic	SMOKE	196608	53335900	54475308	1139408	/workspace/vm-spec-farm/future-evidence/b9-e01-e10/E01-generic.time-v.txt
2026-09-08T01:57:40Z	ADAPTIVE_RESOURCE_V2	E01	E01-pwc32	SMOKE	204800	54491896	54386896	105000	/workspace/vm-spec-farm/future-evidence/b9-e01-e10/E01-pwc32.time-v.txt
2026-09-08T01:58:20Z	ADAPTIVE_RESOURCE_V2	E02	E02-generic	SMOKE	200704	54482488	54522548	40060	/workspace/vm-spec-farm/future-evidence/b9-e01-e10/E02-generic.time-v.txt
2026-09-08T02:00:10Z	ADAPTIVE_RESOURCE_V2	E02	E02-pwc512	SMOKE	200704	54403964	58658972	4255008	/workspace/vm-spec-farm/future-evidence/b9-e01-e10/E02-pwc512.time-v.txt
2026-09-08T02:00:50Z	ADAPTIVE_RESOURCE_V2	E03	E03-generic	SMOKE	196608	58803280	58778496	24784	/workspace/vm-spec-farm/future-evidence/b9-e01-e10/E03-generic.time-v.txt
2026-09-08T02:01:30Z	ADAPTIVE_RESOURCE_V2	E03	E03-pwcideal	SMOKE	196608	58636928	130922956	72286028	/workspace/vm-spec-farm/future-evidence/b9-e01-e10/E03-pwcideal.time-v.txt
2026-09-08T02:02:10Z	ADAPTIVE_RESOURCE_V2	E04	E04-generic64k	SMOKE	204800	129849464	129895084	45620	/workspace/vm-spec-farm/future-evidence/b9-e01-e10/E04-generic64k.time-v.txt
2026-09-08T02:02:51Z	ADAPTIVE_RESOURCE_V2	E04	E04-page2mb	SMOKE	196608	139565560	136356000	3209560	/workspace/vm-spec-farm/future-evidence/b9-e01-e10/E04-page2mb.time-v.txt
2026-09-08T02:03:31Z	ADAPTIVE_RESOURCE_V2	E05	E05-generic	SMOKE	200704	135640232	133242828	2397404	/workspace/vm-spec-farm/future-evidence/b9-e01-e10/E05-generic.time-v.txt
2026-09-08T02:04:11Z	ADAPTIVE_RESOURCE_V2	E05	E05-disabled	SMOKE	200704	132193016	129868828	2324188	/workspace/vm-spec-farm/future-evidence/b9-e01-e10/E05-disabled.time-v.txt
2026-09-08T02:04:51Z	ADAPTIVE_RESOURCE_V2	E06	E06-generic	SMOKE	196608	129896856	130080720	183864	/workspace/vm-spec-farm/future-evidence/b9-e01-e10/E06-generic.time-v.txt
2026-09-08T02:05:31Z	ADAPTIVE_RESOURCE_V2	E06	E06-ideal	SMOKE	200704	130309764	130316720	6956	/workspace/vm-spec-farm/future-evidence/b9-e01-e10/E06-ideal.time-v.txt
2026-09-08T02:07:37Z	ADAPTIVE_RESOURCE_V2	E07	E07-decode-rss	MINER_CAL	26000	135104200	130432904	4671296	/workspace/vm-spec-farm/future-evidence/b9-e01-e10/E07-decode-rss.time-v.txt
2026-09-08T02:08:47Z	ADAPTIVE_RESOURCE_V2	E08	E08-prefill-rss	MINER_CAL	30100	131813776	128118840	3694936	/workspace/vm-spec-farm/future-evidence/b9-e01-e10/E08-prefill-rss.time-v.txt
2026-09-08T02:18:18Z	ADAPTIVE_RESOURCE_V2	E10	E10-decode-static16	STATIC_MINER	53248	128906224	129050328	144104	/workspace/vm-spec-farm/future-evidence/b9-e01-e10/E10-decode-static16.time-v.txt
