timestamp_utc	policy_version	task	arm	mem_available_kb	swap_free_kb	swap_in_delta	swap_out_delta	memory_full_pct	io_full_pct	red_windows	action
2026-09-08T01:55:07Z	ADAPTIVE_RESOURCE_V2	E01	E01-generic	54287140	152	0	0	0.029973	0.174003	0	OBSERVE
2026-09-08T01:57:00Z	ADAPTIVE_RESOURCE_V2	E01	E01-generic	54473900	156	0	0	0.035283	0.163243	0	OBSERVE
2026-09-08T01:57:40Z	ADAPTIVE_RESOURCE_V2	E01	E01-pwc32	54387100	164	2	0	0.051770	0.153387	1	OBSERVE
2026-09-08T01:58:20Z	ADAPTIVE_RESOURCE_V2	E02	E02-generic	54523304	168	2	0	0.020140	0.140630	1	OBSERVE
2026-09-08T02:00:10Z	ADAPTIVE_RESOURCE_V2	E02	E02-pwc512	58658468	176	0	0	0.006050	0.109230	0	OBSERVE
2026-09-08T02:00:50Z	ADAPTIVE_RESOURCE_V2	E03	E03-generic	58778496	180	2	0	0.006230	0.096923	1	OBSERVE
2026-09-08T02:01:30Z	ADAPTIVE_RESOURCE_V2	E03	E03-pwcideal	130915400	188	2	0	0.000060	0.068023	1	OBSERVE
2026-09-08T02:02:10Z	ADAPTIVE_RESOURCE_V2	E04	E04-generic64k	129890568	188	0	0	0.000013	0.235880	0	OBSERVE
2026-09-08T02:02:51Z	ADAPTIVE_RESOURCE_V2	E04	E04-page2mb	136356224	192	0	0	0.000010	0.207463	0	OBSERVE
2026-09-08T02:03:31Z	ADAPTIVE_RESOURCE_V2	E05	E05-generic	133243552	192	0	0	0.000000	0.152957	0	OBSERVE
2026-09-08T02:04:11Z	ADAPTIVE_RESOURCE_V2	E05	E05-disabled	129869080	192	0	0	0.000033	0.031857	0	OBSERVE
2026-09-08T02:04:51Z	ADAPTIVE_RESOURCE_V2	E06	E06-generic	130080720	192	0	0	0.000000	0.002970	0	OBSERVE
2026-09-08T02:05:31Z	ADAPTIVE_RESOURCE_V2	E06	E06-ideal	130316720	192	0	0	0.000000	0.000930	0	OBSERVE
2026-09-08T02:06:11Z	ADAPTIVE_RESOURCE_V2	E07	E07	130357632	192	0	0	0.000003	0.000813	0	OBSERVE
2026-09-08T02:07:37Z	ADAPTIVE_RESOURCE_V2	E07	E07	130432072	196	0	0	0.000000	0.074943	0	OBSERVE
2026-09-08T02:08:17Z	ADAPTIVE_RESOURCE_V2	E08	E08	128817964	196	0	0	0.000000	0.003513	0	OBSERVE
2026-09-08T02:08:47Z	ADAPTIVE_RESOURCE_V2	E08	E08	128119804	196	0	0	0.000000	0.081497	0	OBSERVE
2026-09-08T02:09:27Z	ADAPTIVE_RESOURCE_V2	E09	E09	128508740	276	19	0	0.000000	0.131983	1	OBSERVE
2026-09-08T02:11:19Z	ADAPTIVE_RESOURCE_V2	E09	E09	128459332	276	0	0	0.000003	0.146097	0	OBSERVE
2026-09-08T02:11:49Z	ADAPTIVE_RESOURCE_V2	E09	E09	128485664	0	2	72	0.003953	0.141890	1	OBSERVE
2026-09-08T02:12:19Z	ADAPTIVE_RESOURCE_V2	E09	E09	129131224	0	0	0	0.013147	0.151760	0	OBSERVE
2026-09-08T02:12:49Z	ADAPTIVE_RESOURCE_V2	E09	E09	129014528	0	0	0	0.015663	0.135867	0	OBSERVE
2026-09-08T02:13:19Z	ADAPTIVE_RESOURCE_V2	E09	E09	129073996	0	0	0	0.000043	0.050147	0	OBSERVE
2026-09-08T02:13:49Z	ADAPTIVE_RESOURCE_V2	E09	E09	134097056	0	0	0	0.001507	0.038433	0	OBSERVE
2026-09-08T02:14:19Z	ADAPTIVE_RESOURCE_V2	E09	E09	132181132	0	0	0	0.003207	0.064260	0	OBSERVE
2026-09-08T02:14:49Z	ADAPTIVE_RESOURCE_V2	E09	E09	128861108	4	0	0	0.010837	0.001187	0	OBSERVE
2026-09-08T02:15:19Z	ADAPTIVE_RESOURCE_V2	E09	E09	129021660	4	0	0	0.000030	0.000820	0	OBSERVE
2026-09-08T02:15:49Z	ADAPTIVE_RESOURCE_V2	E09	E09	129019256	4	0	0	0.000023	0.000860	0	OBSERVE
2026-09-08T02:17:18Z	ADAPTIVE_RESOURCE_V2	E10	E10	129005836	4	0	0	0.000017	0.001043	0	OBSERVE
2026-09-08T02:17:48Z	ADAPTIVE_RESOURCE_V2	E10	E10	128944972	4	0	0	0.003437	0.001437	0	OBSERVE
2026-09-08T02:18:18Z	ADAPTIVE_RESOURCE_V2	E10	E10	129050320	4	0	0	0.000067	0.000973	0	OBSERVE
