evidence_label	experiment_id	result	evidence_scope	full_roi_status	interpretation_guard
SPECULATIVE_DIAGNOSTIC	E01	PASS	SIM_SMOKE_ONE_KERNEL_CONTINUOUS_REPLAY	NOT_EXECUTED	not full-workload evidence
SPECULATIVE_DIAGNOSTIC	E02	PASS	SIM_SMOKE_ONE_KERNEL_CONTINUOUS_REPLAY	NOT_EXECUTED	not full-workload evidence
SPECULATIVE_DIAGNOSTIC	E03	PASS	SIM_SMOKE_ONE_KERNEL_CONTINUOUS_REPLAY	NOT_EXECUTED	not full-workload evidence
SPECULATIVE_DIAGNOSTIC	E04	PASS	SIM_SMOKE_ONE_KERNEL_CONTINUOUS_REPLAY	NOT_EXECUTED	not full-workload evidence
SPECULATIVE_DIAGNOSTIC	E05	PASS	SIM_SMOKE_ONE_KERNEL_CONTINUOUS_REPLAY	NOT_EXECUTED	not full-workload evidence
SPECULATIVE_DIAGNOSTIC	E06	PASS	SIM_SMOKE_ONE_KERNEL_CONTINUOUS_REPLAY	NOT_EXECUTED	not full-workload evidence
SPECULATIVE_DIAGNOSTIC	E07	PASS	MINER_RSS_CALIBRATION_ONE_KERNEL	NOT_EXECUTED	not full-workload evidence
SPECULATIVE_DIAGNOSTIC	E08	PASS	MINER_RSS_CALIBRATION_ONE_KERNEL	NOT_EXECUTED	not full-workload evidence
SPECULATIVE_DIAGNOSTIC	E09	PASS	STATIC_MATCHED_METADATA_16_KERNEL_SAMPLE	NOT_EXECUTED	not full-workload evidence
SPECULATIVE_DIAGNOSTIC	E10	PASS	STATIC_MATCHED_METADATA_16_KERNEL_SAMPLE	NOT_EXECUTED	not full-workload evidence
