relative_path	size_bytes	sha256
BACKGROUND_CORRECTNESS.tsv	443	b689974ff827ab7d3d1284f3aca8ef0f6a9f1d57d6fe4211867196fad417f316
BACKGROUND_STANDALONE_RUNS.tsv	4350	32314ba1bc914461769345e97e028ca14f7c9e053838598b09a39cf4226ac147
BACKGROUND_STANDALONE_TIMING.tsv	1153	5047725de7c57d3286ca3c62c2d23c1af97ef7cc7de257c48ee5d201f17af5af
FINAL_DECISION.md	571	5ec75238b0aa1de73f1ceb90492a6b3aeffb54769a0472ff8b307b85f59e8ed5
NSYS_STANDALONE_STRATA.tsv	2402	b0b75b3f0a218dbcadaeef5f89e78620a898b9f242556c8c07237694c5d7e7f9
NUMERIC_ATTEMPT_AUDIT.json	4545	571f9a1eb777e90af430178bf6399b21ef1926b6834e7b19e50cdfbb86544730
PREREGISTRATION.json	2801	a5bce5288b5ce9af45f8a7fea711c426f2723eb1ef0e2574e9722b35314b6ff0
R51_DECISION.md	892	7e10e46f9052aa6ddd163acdee8747d2673bb2b10b7bdf577fc1b2aa7f834e8e
R51_MATCHED_COMPARISON.tsv	261	9c8f34644b23f3f4aae7e5ba4abb2316a1c658684ecfd696e9af73736c0dddb4
R51_R52_DECISION_MATRIX.tsv	486	44cc67e508ddf6af4524ecf1b1c6decf8e42db423fb9ca404979b886ad214a22
R51_TIMELINE_RESULTS.tsv	367	737fc0920eed06047ac1c51325296d169c119bcd2eccd278a70cc44fd7b286c0
R52_CANCEL_WINDOW_DIAGNOSTIC.tsv	300	a30b0ddfc35cd0006a04255209ddc9036aa353ec96ed7acf18136cd975e5af02
R52_INVALIDATION_AUTHORITY_AUDIT.md	577	79f36c6514d3aba7f550777f23f40a46604dc5ba9a56ac2edc954a2877a74781
README.md	634	6ef886787ede1314206788ad2ee2d576a131953e2d57f113c1898f25d183df26
REPORT.md	697	5926237395c9be91cc81008a471c9977d347871a6eb7f25a71af2351fa97cf55
SOURCE_AND_CLOSEST_WORK_AUDIT.md	981	2892a62ac1b52f0350daace0d43a018198eeff8303fb4ff96198909c98bcc5d9
STREAM_PRIORITY_RECEIPT.json	646	50496296c440f5a8996803fbf43496f3caa8e34381ba6dc35e420cd13114ec6e
TARGET_IDENTITY_RECEIPT.json	2392	b8412ffb38da0fc58bfded5c20af849d4cb153c5896243a8a28a94e712961efa
input/R51_TARGET_PAYLOAD.pt	279978941	35c67906c1a858482494767c5e08f807d6d1af7ff35f6470f8cd787cf0636666
standalone/CHUNKED_GRAPH_32/canary.nsys-rep	137299	a4da74c32e88673caa3e868f9887be802c9515241a1e0501da4056170619d09a
standalone/CHUNKED_GRAPH_32/canary.sqlite	647168	6eaeebf4abfbb486ce2c1d1c0e18f711698bb04d188ea8be2b57d8d077257951
standalone/CHUNKED_GRAPH_32/canary.stderr	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
standalone/CHUNKED_GRAPH_32/canary.stdout	1921	6dfb6d377a9aabc4c04a41f70461d2a53dba5b7015b46c457cddd0eddec4186d
standalone/CHUNKED_GRAPH_32/export.stderr	8101	f5e92a91e1b4f075ca462bfa01686effebb71dedae56daafd4f7d82592e55e49
standalone/CHUNKED_GRAPH_32/formal.stderr	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
standalone/CHUNKED_GRAPH_32/formal.stdout	1402	ce9521abcc280bdd4842f15ae585e7bed275c58c130881703e1a141b906f4717
standalone/CHUNKED_GRAPH_8/canary.nsys-rep	129928	c10ed445f0761312cad43c2804c1a1c162d6afadda014200657647236eb339f0
standalone/CHUNKED_GRAPH_8/canary.sqlite	630784	4be610dbd6e8017a9bf5e58d4c1e630813785a7846e3cffe7538e37d5aef431e
standalone/CHUNKED_GRAPH_8/canary.stderr	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
standalone/CHUNKED_GRAPH_8/canary.stdout	1875	3de7970f59ab14a942cec8044f8dda7ef25ead6f4173630ff114c6babcf43a28
standalone/CHUNKED_GRAPH_8/export.stderr	8101	a788f3b8fdc3759a1749b15320f591e87433f3c6bd8a411da71949c0f1ad230c
standalone/CHUNKED_GRAPH_8/formal.stderr	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
standalone/CHUNKED_GRAPH_8/formal.stdout	1393	300d8f9e9439194fbb0a09d9241299fe05c6da8394da8a2813c6dbea441a5585
standalone/MONOLITHIC/canary.nsys-rep	134149	657e7bf0133996dd070c77777845f243d97a9661b3c3cfc0e23064a31da296bf
standalone/MONOLITHIC/canary.sqlite	634880	0f17b3c2e281e71515c72eebdcac6bdad8948b2d08cb6e2d860a691d1a54793b
standalone/MONOLITHIC/canary.stderr	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
standalone/MONOLITHIC/canary.stdout	1742	0f5231f99d77ec529c39fe4493e80c089e2fd11b06a41e79a22fb420b2795196
standalone/MONOLITHIC/export.stderr	8101	4a4cd9c8feb2333f693ece910f90c71fae21464dcde89e03d260bf90417514d6
standalone/MONOLITHIC/formal.stderr	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
standalone/MONOLITHIC/formal.stdout	1161	0653e3d36859c792d7bb1df11157582cacd54194f7ce11644b916e829621cb31
