fixture	metric	expected	actual	status	source_sha256
RTX3090_Q2_PREFILL	lane_events	786432	786432	EXACT_PASS	cf60a7e063524c080593cef9aea409da0af3e8cad9020a28ed3e416f88725667
RTX3090_Q2_PREFILL	READ	524288	524288	EXACT_PASS	cf60a7e063524c080593cef9aea409da0af3e8cad9020a28ed3e416f88725667
RTX3090_Q2_PREFILL	WRITE	262144	262144	EXACT_PASS	cf60a7e063524c080593cef9aea409da0af3e8cad9020a28ed3e416f88725667
RTX3090_Q2_PREFILL	width_2B	524288	524288	EXACT_PASS	cf60a7e063524c080593cef9aea409da0af3e8cad9020a28ed3e416f88725667
RTX3090_Q2_PREFILL	width_4B	262144	262144	EXACT_PASS	cf60a7e063524c080593cef9aea409da0af3e8cad9020a28ed3e416f88725667
RTX3090_Q2_PREFILL	unique_exact_va	333952	333952	EXACT_PASS	cf60a7e063524c080593cef9aea409da0af3e8cad9020a28ed3e416f88725667
RTX3090_Q2_PREFILL	unique_128b_lines	5224	5224	EXACT_PASS	cf60a7e063524c080593cef9aea409da0af3e8cad9020a28ed3e416f88725667
RTX3090_Q2_PREFILL	unique_4k_pages	164	164	EXACT_PASS	cf60a7e063524c080593cef9aea409da0af3e8cad9020a28ed3e416f88725667
RTX3090_Q2_PREFILL	unique_2m_pages	20	20	EXACT_PASS	cf60a7e063524c080593cef9aea409da0af3e8cad9020a28ed3e416f88725667
RTX3090_Q2_DECODE	lane_events	18432	18432	EXACT_PASS	9ff9ad5481d08d1d88653697fa6086b94965344ffd38feb7169e6c6801d20b8c
RTX3090_Q2_DECODE	READ	12288	12288	EXACT_PASS	9ff9ad5481d08d1d88653697fa6086b94965344ffd38feb7169e6c6801d20b8c
RTX3090_Q2_DECODE	WRITE	6144	6144	EXACT_PASS	9ff9ad5481d08d1d88653697fa6086b94965344ffd38feb7169e6c6801d20b8c
RTX3090_Q2_DECODE	width_2B	12288	12288	EXACT_PASS	9ff9ad5481d08d1d88653697fa6086b94965344ffd38feb7169e6c6801d20b8c
RTX3090_Q2_DECODE	width_4B	6144	6144	EXACT_PASS	9ff9ad5481d08d1d88653697fa6086b94965344ffd38feb7169e6c6801d20b8c
RTX3090_Q2_DECODE	unique_exact_va	12291	12291	EXACT_PASS	9ff9ad5481d08d1d88653697fa6086b94965344ffd38feb7169e6c6801d20b8c
RTX3090_Q2_DECODE	unique_128b_lines	195	195	EXACT_PASS	9ff9ad5481d08d1d88653697fa6086b94965344ffd38feb7169e6c6801d20b8c
RTX3090_Q2_DECODE	unique_4k_pages	9	9	EXACT_PASS	9ff9ad5481d08d1d88653697fa6086b94965344ffd38feb7169e6c6801d20b8c
RTX3090_Q2_DECODE	unique_2m_pages	7	7	EXACT_PASS	9ff9ad5481d08d1d88653697fa6086b94965344ffd38feb7169e6c6801d20b8c
