figure	metric	roi	numerator	denominator	computed_value	unit	display_value	formula	authority_tsv	authority_sha256	authority_rows	reference_tsv	reference_sha256	assertion
A	L1_TLB_miss_rate_pct	prefill	1246241	93933006	1.3267338639	percent	1.3267%	vm_l1_tlb_misses / vm_l1_tlb_accesses × 100	docs/vm_tlb/review_packs/M4C_C3_C4_FINAL_CLOSEOUT/TRANSLATION_TOTALS.tsv	4b93693a71025131a6d669aa2afa712e5398a2e28ba63ce30783f42d7331bf3a	roi=prefill;profile=generic;metric=vm_l1_tlb_misses|vm_l1_tlb_accesses	docs/vm_tlb/codex_handoff/ppt_onepage/FIGURES_AB_REFERENCE_DATA.tsv	1c00eebb46898916ba8c4d09e96fe5cf6467ad7b856e7e0e17d932c12e2c0087	PASS: parsed numerator/denominator/computed value equal reference TSV
A	L2_continued_miss_pct	prefill	56467	1246241	4.5309855798	percent	4.5310%	vm_l2_tlb_misses / vm_l1_tlb_misses × 100	docs/vm_tlb/review_packs/M4C_C3_C4_FINAL_CLOSEOUT/TRANSLATION_TOTALS.tsv	4b93693a71025131a6d669aa2afa712e5398a2e28ba63ce30783f42d7331bf3a	roi=prefill;profile=generic;metric=vm_l2_tlb_misses|vm_l1_tlb_misses	docs/vm_tlb/codex_handoff/ppt_onepage/FIGURES_AB_REFERENCE_DATA.tsv	1c00eebb46898916ba8c4d09e96fe5cf6467ad7b856e7e0e17d932c12e2c0087	PASS: parsed numerator/denominator/computed value equal reference TSV
A	MSHR_full_events_full_roi	prefill	0	NA	0.0000000000	events	0	vm_translation_mshr_full_events (event counter)	docs/vm_tlb/review_packs/M4C_C3_C4_FINAL_CLOSEOUT/TRANSLATION_TOTALS.tsv	4b93693a71025131a6d669aa2afa712e5398a2e28ba63ce30783f42d7331bf3a	roi=prefill;profile=generic;metric=vm_translation_mshr_full_events	docs/vm_tlb/codex_handoff/ppt_onepage/FIGURES_AB_REFERENCE_DATA.tsv	1c00eebb46898916ba8c4d09e96fe5cf6467ad7b856e7e0e17d932c12e2c0087	PASS: parsed numerator/denominator/computed value equal reference TSV
A	MSHR_full_events_per_1M_translation_requests	prefill	0	93933006	0.0000000000	events / 1M translation requests	0 events / 1M translation requests	vm_translation_mshr_full_events / vm_translation_lookup_requests × 1,000,000	docs/vm_tlb/review_packs/M4C_C3_C4_FINAL_CLOSEOUT/TRANSLATION_TOTALS.tsv	4b93693a71025131a6d669aa2afa712e5398a2e28ba63ce30783f42d7331bf3a	roi=prefill;profile=generic;metric=vm_translation_mshr_full_events|vm_translation_lookup_requests	docs/vm_tlb/codex_handoff/ppt_onepage/FIGURES_AB_REFERENCE_DATA.tsv	1c00eebb46898916ba8c4d09e96fe5cf6467ad7b856e7e0e17d932c12e2c0087	PASS: parsed numerator/denominator/computed value equal reference TSV
B	Weight_lane_reference_share_pct	prefill	410255360	2567744708	15.9772643566	percent	16%	WEIGHT sum_lane_references / all object classes × 100	docs/vm_tlb/review_packs/M4C_C3_C4_FINAL_CLOSEOUT/C4_TRACE_LOCALITY_SUMMARY.tsv	8e969fd957c314acac188146474121a146e917c5e36fcdc06c116899e74c6de9	roi=prefill;object_class=WEIGHT,KV_CACHE,UNKNOWN;field=sum_lane_references	docs/vm_tlb/codex_handoff/ppt_onepage/FIGURES_AB_REFERENCE_DATA.tsv	1c00eebb46898916ba8c4d09e96fe5cf6467ad7b856e7e0e17d932c12e2c0087	PASS: parsed numerator/denominator/computed value equal reference TSV
B	Weight_64KB_unique_page_share_pct	prefill	15443	17668	87.4066108218	percent	87%	WEIGHT roi_union_unique_64kb_pages / all object classes × 100	docs/vm_tlb/review_packs/M4C_C3_C4_FINAL_CLOSEOUT/C4_TRACE_LOCALITY_SUMMARY.tsv	8e969fd957c314acac188146474121a146e917c5e36fcdc06c116899e74c6de9	roi=prefill;object_class=WEIGHT,KV_CACHE,UNKNOWN;field=roi_union_unique_64kb_pages	docs/vm_tlb/codex_handoff/ppt_onepage/FIGURES_AB_REFERENCE_DATA.tsv	1c00eebb46898916ba8c4d09e96fe5cf6467ad7b856e7e0e17d932c12e2c0087	PASS: parsed numerator/denominator/computed value equal reference TSV
A	L1_TLB_miss_rate_pct	decode1	69483	75844615	0.0916123050	percent	0.0916%	vm_l1_tlb_misses / vm_l1_tlb_accesses × 100	docs/vm_tlb/review_packs/M4C_C3_C4_FINAL_CLOSEOUT/TRANSLATION_TOTALS.tsv	4b93693a71025131a6d669aa2afa712e5398a2e28ba63ce30783f42d7331bf3a	roi=decode1;profile=generic;metric=vm_l1_tlb_misses|vm_l1_tlb_accesses	docs/vm_tlb/codex_handoff/ppt_onepage/FIGURES_AB_REFERENCE_DATA.tsv	1c00eebb46898916ba8c4d09e96fe5cf6467ad7b856e7e0e17d932c12e2c0087	PASS: parsed numerator/denominator/computed value equal reference TSV
A	L2_continued_miss_pct	decode1	23805	69483	34.2601787488	percent	34.2602%	vm_l2_tlb_misses / vm_l1_tlb_misses × 100	docs/vm_tlb/review_packs/M4C_C3_C4_FINAL_CLOSEOUT/TRANSLATION_TOTALS.tsv	4b93693a71025131a6d669aa2afa712e5398a2e28ba63ce30783f42d7331bf3a	roi=decode1;profile=generic;metric=vm_l2_tlb_misses|vm_l1_tlb_misses	docs/vm_tlb/codex_handoff/ppt_onepage/FIGURES_AB_REFERENCE_DATA.tsv	1c00eebb46898916ba8c4d09e96fe5cf6467ad7b856e7e0e17d932c12e2c0087	PASS: parsed numerator/denominator/computed value equal reference TSV
A	MSHR_full_events_full_roi	decode1	2301691	NA	2301691.0000000000	events	2.30M	vm_translation_mshr_full_events (event counter)	docs/vm_tlb/review_packs/M4C_C3_C4_FINAL_CLOSEOUT/TRANSLATION_TOTALS.tsv	4b93693a71025131a6d669aa2afa712e5398a2e28ba63ce30783f42d7331bf3a	roi=decode1;profile=generic;metric=vm_translation_mshr_full_events	docs/vm_tlb/codex_handoff/ppt_onepage/FIGURES_AB_REFERENCE_DATA.tsv	1c00eebb46898916ba8c4d09e96fe5cf6467ad7b856e7e0e17d932c12e2c0087	PASS: parsed numerator/denominator/computed value equal reference TSV
A	MSHR_full_events_per_1M_translation_requests	decode1	2301691	75844615	30347.4544633129	events / 1M translation requests	30.35K events / 1M translation requests	vm_translation_mshr_full_events / vm_translation_lookup_requests × 1,000,000	docs/vm_tlb/review_packs/M4C_C3_C4_FINAL_CLOSEOUT/TRANSLATION_TOTALS.tsv	4b93693a71025131a6d669aa2afa712e5398a2e28ba63ce30783f42d7331bf3a	roi=decode1;profile=generic;metric=vm_translation_mshr_full_events|vm_translation_lookup_requests	docs/vm_tlb/codex_handoff/ppt_onepage/FIGURES_AB_REFERENCE_DATA.tsv	1c00eebb46898916ba8c4d09e96fe5cf6467ad7b856e7e0e17d932c12e2c0087	PASS: parsed numerator/denominator/computed value equal reference TSV
