target	run_id	static_index	classification	object_class	object_name	active_lane_events	exact_bytes	binding
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	216	EXECUTED_SHARD	UNKNOWN_RUNTIME		77824	1245184	SAME_PROCESS_ADDRESS_CONTEXT
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	240	EXECUTED_SHARD	UNKNOWN_RUNTIME		77824	1245184	SAME_PROCESS_ADDRESS_CONTEXT
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	252	EXECUTED_SHARD	WEIGHT		77824	1245184	SAME_PROCESS_ADDRESS_CONTEXT
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	252	EXECUTED_SHARD	WEIGHT	model.layers.0.mlp.gate_proj.weight	77824	1245184	SAME_PROCESS_ADDRESS_CONTEXT
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	272	EXECUTED_SHARD	WEIGHT		77824	1245184	SAME_PROCESS_ADDRESS_CONTEXT
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	272	EXECUTED_SHARD	WEIGHT	model.layers.0.mlp.gate_proj.weight	77824	1245184	SAME_PROCESS_ADDRESS_CONTEXT
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	277	EXECUTED_SHARD	WEIGHT		77824	1245184	SAME_PROCESS_ADDRESS_CONTEXT
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	277	EXECUTED_SHARD	WEIGHT	model.layers.0.mlp.gate_proj.weight	77824	1245184	SAME_PROCESS_ADDRESS_CONTEXT
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	279	EXECUTED_SHARD	WEIGHT		77824	1245184	SAME_PROCESS_ADDRESS_CONTEXT
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	279	EXECUTED_SHARD	WEIGHT	model.layers.0.mlp.gate_proj.weight	77824	1245184	SAME_PROCESS_ADDRESS_CONTEXT
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	329	EXECUTED_SHARD	UNKNOWN_RUNTIME		77824	1245184	SAME_PROCESS_ADDRESS_CONTEXT
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	334	EXECUTED_SHARD	UNKNOWN_RUNTIME		77824	1245184	SAME_PROCESS_ADDRESS_CONTEXT
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	346	EXECUTED_SHARD	WEIGHT		77824	1245184	SAME_PROCESS_ADDRESS_CONTEXT
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	346	EXECUTED_SHARD	WEIGHT	model.layers.0.mlp.gate_proj.weight	77824	1245184	SAME_PROCESS_ADDRESS_CONTEXT
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	350	EXECUTED_SHARD	WEIGHT		77824	1245184	SAME_PROCESS_ADDRESS_CONTEXT
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	350	EXECUTED_SHARD	WEIGHT	model.layers.0.mlp.gate_proj.weight	77824	1245184	SAME_PROCESS_ADDRESS_CONTEXT
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	354	EXECUTED_SHARD	WEIGHT		77824	1245184	SAME_PROCESS_ADDRESS_CONTEXT
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	354	EXECUTED_SHARD	WEIGHT	model.layers.0.mlp.gate_proj.weight	77824	1245184	SAME_PROCESS_ADDRESS_CONTEXT
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	357	EXECUTED_SHARD	WEIGHT		77824	1245184	SAME_PROCESS_ADDRESS_CONTEXT
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	357	EXECUTED_SHARD	WEIGHT	model.layers.0.mlp.gate_proj.weight	77824	1245184	SAME_PROCESS_ADDRESS_CONTEXT
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	445	EXECUTED_SHARD	UNKNOWN_RUNTIME		2023424	32374784	SAME_PROCESS_ADDRESS_CONTEXT
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	451	EXECUTED_SHARD	WEIGHT		2023424	32374784	SAME_PROCESS_ADDRESS_CONTEXT
