model_id	scenario	batch_size	prefill_tokens	decode_tokens	input_class	payload_path	payload_sha256	binding_receipt_or_basis	binding_status	status	notes
Qwen2.5-0.5B-Instruct	S0_TEXT	1	128	4	TEXT	/root/share/c16_recovery_v3/staging/qwen2p5_0p5b_instruct_p1_inputs_v2/a_assets/TOKEN_RECEIPTS/c16_qwen25_05b_native_reference/TEXT_T128.json	7a24af1da33394a34bc7a637399d44ab46091557330cb13da4bcec05eab307f7	R1_QWEN2P5_0P5B_MODEL_INPUT_RECEIPT_V2.json sha256 119ae14724398e5c59e7a986ce5b4219d010a0051b5a449a7e5b388d76907e6a	HASH_CLOSED_TOKEN_RECEIPT	FORMAL	Exact token receipt path and hash
Qwen2.5-0.5B-Instruct	S1_CODE	1	256	16	CODE	/root/share/c16_recovery_v3/staging/qwen2p5_0p5b_instruct_p1_inputs_v2/a_assets/TOKEN_RECEIPTS/c16_qwen25_05b_native_reference/CODE_T256.json	1719ecb01893214142873fe234599a747b40e6f8aefe0227f267bfd9540ea424	Same scenario matrix receipt	HASH_CLOSED_TOKEN_RECEIPT	FORMAL	Exact token receipt path and hash
Qwen2.5-0.5B-Instruct	S2_CODE	1	2048	32	CODE	/root/share/c16_recovery_v3/staging/qwen2p5_0p5b_instruct_p1_inputs_v2/a_assets/TOKEN_RECEIPTS/c16_qwen25_05b_native_reference/CODE_T2048.json	1d90d02a3261d7adf82e347c906bf05ee0577cf1c70aabe6d2c416bba56f0a22	Same scenario matrix receipt	HASH_CLOSED_TOKEN_RECEIPT	FORMAL	Exact token receipt path and hash
Qwen2.5-0.5B-Instruct	S2_STRUCTURED	1	2048	32	STRUCTURED	/root/share/c16_recovery_v3/staging/qwen2p5_0p5b_instruct_p1_inputs_v2/a_assets/TOKEN_RECEIPTS/c16_qwen25_05b_native_reference/STRUCTURED_T2048.json	dddcfb28d6cd52e285f8e7102d81a4c92d19f2ab867ffb91b22083dcc5436237	Same scenario matrix receipt	HASH_CLOSED_TOKEN_RECEIPT	FORMAL	Exact token receipt path and hash
Qwen2.5-0.5B-Instruct	S2_TEXT	1	2048	32	TEXT	/root/share/c16_recovery_v3/staging/qwen2p5_0p5b_instruct_p1_inputs_v2/a_assets/TOKEN_RECEIPTS/c16_qwen25_05b_native_reference/TEXT_T2048.json	099d5c9cc204c2d561b3533631e5a75446d183cac5b71b2d7337bef0954efc31	Same scenario matrix receipt	HASH_CLOSED_TOKEN_RECEIPT	FORMAL	Exact token receipt path and hash
Qwen2.5-0.5B-Instruct	S3_TEXT	1	8192	16	TEXT	/root/share/c16_recovery_v3/staging/qwen2p5_0p5b_instruct_p1_inputs_v2/a_assets/TOKEN_RECEIPTS/c16_qwen25_05b_native_reference/TEXT_T8192.json	4795f7012e3ce0e1b7b1c157925a57d89c8965f713360aaa2216a7ec3ff43b1f	Same scenario matrix receipt	HASH_CLOSED_TOKEN_RECEIPT	FORMAL	Exact token receipt path and hash
Qwen2.5-0.5B-Instruct	S4_STRUCTURED	4	2048	16	STRUCTURED	/root/share/c16_recovery_v3/staging/qwen2p5_0p5b_instruct_p1_inputs_v2/a_assets/TOKEN_RECEIPTS/c16_qwen25_05b_native_reference/STRUCTURED_T2048.json	dddcfb28d6cd52e285f8e7102d81a4c92d19f2ab867ffb91b22083dcc5436237	Same scenario matrix receipt	HASH_CLOSED_TOKEN_RECEIPT	FORMAL	S4 deliberately reuses the S2 structured payload
Qwen2.5-7B-Instruct raw	S0_TEXT	1	128	4	TEXT	/root/share/c16_recovery_v3/staging/qwen2p5_7b_raw_p2_inputs_v1/a_assets/TOKEN_RECEIPTS/c16_qwen25_7b_raw_reference/TEXT_T128.json	47686a0239b496ad096cb25fa326e081d9fbadb2b589b6116e4a852dd50f4ffe	R1_QWEN2P5_7B_RAW_MODEL_INPUT_RECEIPT.json sha256 1006bf06419bd8425caecfa8bb7af4470a013637f1e13d1fc760ed9bce505634	MODEL_INPUT_TOKEN_RECEIPT	FORMAL	Exact token receipt path and hash
Qwen2.5-7B-Instruct raw	S1_CODE	1	256	16	CODE	/root/share/c16_recovery_v3/staging/qwen2p5_7b_raw_p2_inputs_v1/a_assets/TOKEN_RECEIPTS/c16_qwen25_7b_raw_reference/CODE_T256.json	b4cd53cabfecb38410ad72d76f488bb14aae3c86318ff7ee45a44bd1baff2155	R2 runtime input binding receipt sha256 e3313161185d8fd109533058248224337099a65a0e3beb7ffa4b87fac9dfc29a	RUNTIME_BINDING	FORMAL	Exact token receipt path and hash
Qwen2.5-7B-Instruct raw	S2_CODE	1	2048	32	CODE	/root/share/c16_recovery_v3/staging/qwen2p5_7b_raw_p2_inputs_v1/a_assets/TOKEN_RECEIPTS/c16_qwen25_7b_raw_reference/CODE_T2048.json	f43eecda2d20c590b0a01bd21bb070a0dd53a8790394d1f7e038422a8cd4dc24	R2 runtime input binding receipt sha256 e3313161185d8fd109533058248224337099a65a0e3beb7ffa4b87fac9dfc29a	RUNTIME_BINDING	FORMAL	Exact token receipt path and hash
Qwen2.5-7B-Instruct raw	S2_STRUCTURED	1	2048	32	STRUCTURED	/root/share/c16_recovery_v3/staging/qwen2p5_7b_raw_p2_inputs_v1/a_assets/TOKEN_RECEIPTS/c16_qwen25_7b_raw_reference/STRUCTURED_T2048.json	32eec8dc34f681e6dc0aa5500f6b458e5776d190a8d93e77745148a3a2e567bf	R2 runtime input binding receipt sha256 e3313161185d8fd109533058248224337099a65a0e3beb7ffa4b87fac9dfc29a	RUNTIME_BINDING	FORMAL	Exact token receipt path and hash
Qwen2.5-7B-Instruct raw	S2_TEXT	1	2048	32	TEXT	/root/share/c16_recovery_v3/staging/qwen2p5_7b_raw_p2_inputs_v1/a_assets/TOKEN_RECEIPTS/c16_qwen25_7b_raw_reference/TEXT_T2048.json	2424297397c48163f850a58928da9414a88def22042dd14d066b38d3b4c1f382	R2 runtime input binding receipt sha256 e3313161185d8fd109533058248224337099a65a0e3beb7ffa4b87fac9dfc29a	RUNTIME_BINDING	FORMAL	Exact token receipt path and hash
Qwen2.5-7B-Instruct raw	S3_TEXT	1	8192	16	TEXT	/root/share/c16_recovery_v3/staging/qwen2p5_7b_raw_p2_inputs_v1/a_assets/TOKEN_RECEIPTS/c16_qwen25_7b_raw_reference/TEXT_T8192.json	719bdcd745d0afe1eabc0685811625ebbaede1081a5fa9118cbdc6753c801765	R2 runtime input binding receipt sha256 e3313161185d8fd109533058248224337099a65a0e3beb7ffa4b87fac9dfc29a	RUNTIME_BINDING	FORMAL	Exact token receipt path and hash
Qwen2.5-7B-Instruct raw	S4_STRUCTURED	4	2048	16	STRUCTURED	/root/share/c16_recovery_v3/staging/qwen2p5_7b_raw_p2_inputs_v1/a_assets/TOKEN_RECEIPTS/c16_qwen25_7b_raw_reference/STRUCTURED_T2048.json	32eec8dc34f681e6dc0aa5500f6b458e5776d190a8d93e77745148a3a2e567bf	R2 runtime input binding receipt sha256 e3313161185d8fd109533058248224337099a65a0e3beb7ffa4b87fac9dfc29a	RUNTIME_BINDING	FORMAL	S4 deliberately reuses the S2 structured payload
Qwen2.5-7B-Instruct-AWQ	S0_TEXT	1	128	4	TEXT	/root/share/c16_recovery_v3/staging/qwen2p5_7b_awq_p3_inputs_v1/a_assets/TOKEN_RECEIPTS/c16_qwen25_7b_awq/TEXT_T128.json	129d5c524306f9fb5ded6e6072baf886a080f8b077f012bd5260574c76496bae	R2_QWEN2P5_7B_AWQ_MODEL_INPUT_RECEIPT.json sha256 7e7280815a2a3203d6e9f4cdad0e8e198a5c4efddf15ab78e109fb8f5d2a3c8b	HASH_CLOSED_TOKEN_RECEIPT	FORMAL	Exact token receipt path and hash
Qwen2.5-7B-Instruct-AWQ	S1_CODE	1	256	16	CODE	/root/share/c16_recovery_v3/staging/qwen2p5_7b_awq_p3_inputs_v1/a_assets/TOKEN_RECEIPTS/c16_qwen25_7b_awq/CODE_T256.json	a79f553ec78365702856d349eb4abf7bba5f4ae02afefc060927b2541d56bfbf	Same scenario matrix receipt	HASH_CLOSED_TOKEN_RECEIPT	FORMAL	Exact token receipt path and hash
Qwen2.5-7B-Instruct-AWQ	S2_CODE	1	2048	32	CODE	/root/share/c16_recovery_v3/staging/qwen2p5_7b_awq_p3_inputs_v1/a_assets/TOKEN_RECEIPTS/c16_qwen25_7b_awq/CODE_T2048.json	931af717d4a542d94103533836f37d3c4147d0e325b2750535c71afbea23b774	Same scenario matrix receipt	HASH_CLOSED_TOKEN_RECEIPT	FORMAL	Exact token receipt path and hash
Qwen2.5-7B-Instruct-AWQ	S2_STRUCTURED	1	2048	32	STRUCTURED	/root/share/c16_recovery_v3/staging/qwen2p5_7b_awq_p3_inputs_v1/a_assets/TOKEN_RECEIPTS/c16_qwen25_7b_awq/STRUCTURED_T2048.json	b3b929f5187758aa8e8bed0d9b6c4ceccc8f8de36a2a2c7900b3a3a7d47f7413	Same scenario matrix receipt	HASH_CLOSED_TOKEN_RECEIPT	FORMAL	Exact token receipt path and hash
Qwen2.5-7B-Instruct-AWQ	S2_TEXT	1	2048	32	TEXT	/root/share/c16_recovery_v3/staging/qwen2p5_7b_awq_p3_inputs_v1/a_assets/TOKEN_RECEIPTS/c16_qwen25_7b_awq/TEXT_T2048.json	a618c2c5efd25e81e04b43f0af467ceb966948ae9c4cc2cd51598f09398d5a95	Same scenario matrix receipt	HASH_CLOSED_TOKEN_RECEIPT	FORMAL	Exact token receipt path and hash
Qwen2.5-7B-Instruct-AWQ	S3_TEXT	1	8192	16	TEXT	/root/share/c16_recovery_v3/staging/qwen2p5_7b_awq_p3_inputs_v1/a_assets/TOKEN_RECEIPTS/c16_qwen25_7b_awq/TEXT_T8192.json	49d92bb7e17b0721c9183cc5c5dc6aa732ae1f7411e09a9b8ef8559dcd9ad9c1	Same scenario matrix receipt	HASH_CLOSED_TOKEN_RECEIPT	FORMAL	Exact token receipt path and hash
Qwen2.5-7B-Instruct-AWQ	S4_STRUCTURED	4	2048	16	STRUCTURED	/root/share/c16_recovery_v3/staging/qwen2p5_7b_awq_p3_inputs_v1/a_assets/TOKEN_RECEIPTS/c16_qwen25_7b_awq/STRUCTURED_T2048.json	b3b929f5187758aa8e8bed0d9b6c4ceccc8f8de36a2a2c7900b3a3a7d47f7413	Same scenario matrix receipt	HASH_CLOSED_TOKEN_RECEIPT	FORMAL	S4 deliberately reuses the S2 structured payload
Qwen3-8B	ALL	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	/root/share/c16_recovery_v3/models/qwen3_8b	UNKNOWN	R2 local rehash receipt records runtime_input_binding_authority=MISSING_AUTHORITY	NO_HISTORICAL_FROZEN_BINDING	UNKNOWN	Do not infer a frozen binding from model asset identity
DeepSeek-V2-Lite	ALL	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	/root/share/c16_recovery_v3/models/deepseek_v2_lite	UNKNOWN	R2 local rehash receipt records runtime_input_binding_authority=MISSING_AUTHORITY	NO_HISTORICAL_FROZEN_BINDING	UNKNOWN	Do not infer a frozen binding from model asset identity
