artifact_id	campaign	phase	path	bytes	sha256_or_hash_basis	status	future_value	retention_action	notes
LLAMA_Q1_TINY_RAW	RTX3090_ROUTE_B	Q1	/root/share/c16_recovery_v3/raw/llama32_1b/S0/ROUTE_B_Q1/q1_tiny_88168889_20260914T072246Z/raw.jsonl	502744	420ab3b009bcf20975bde9a38d3792f84882ee4977f8254464bdf8ca07fb1a0b	FORMAL	Tiny Route-B callback contract reference	Archive copy candidate to 164	Q1 PASS
LLAMA_Q2_PREFILL_RAW	RTX3090_ROUTE_B	Q2_PREFILL	/root/share/c16_recovery_v3/raw/llama32_1b/S0/ROUTE_B_Q2_PREFILL_DYNAMIC/91e27027-eb2d-4572-a4b0-b9baf4fd34fb/raw.jsonl	729983913	cf60a7e063524c080593cef9aea409da0af3e8cad9020a28ed3e416f88725667	FORMAL	Largest direct Route-B prefill comparison corpus	Archive copy candidate to 164	Q2 Prefill COMPLETE
LLAMA_Q2_PREFILL_STATIC_MAP	RTX3090_ROUTE_B	Q2_PREFILL	/root/share/c16_recovery_v3/raw/llama32_1b/S0/ROUTE_B_Q2_PREFILL_STATIC_MAP/ffb46485-1432-4c19-9966-08253b77bf88/raw/EXACT_FUNCTION_STATIC_MAP.tsv	110617	aa256fac6f71749a420a20b9988928867e1ed7c8d3232dcf6113c40097dbfa13	FORMAL	Static map provenance	Keep recovery source; Git manifest/receipt is primary control plane	34/36 exact; do not reinterpret failures
LLAMA_Q2_DECODE_RAW	RTX3090_ROUTE_B	Q2_DECODE	/root/share/c16_recovery_v3/raw/llama32_1b/S0/ROUTE_B_Q2_DECODE_DYNAMIC/391deb99-0430-4a19-8a2d-b2bf62243266/raw.jsonl	16863304	9ff9ad5481d08d1d88653697fa6086b94965344ffd38feb7169e6c6801d20b8c	FORMAL	Direct Route-B decode comparison corpus	Archive copy candidate to 164	Q2 Decode COMPLETE
LLAMA_Q2_DECODE_STATIC_MAP	RTX3090_ROUTE_B	Q2_DECODE	/root/share/c16_recovery_v3/raw/llama32_1b/S0/ROUTE_B_Q2_DECODE_STATIC_MAP/777d7cef-c45c-430d-8d0d-f3535c126d67/raw/EXACT_FUNCTION_STATIC_MAP.tsv	88627	a8d55ddb4f196ec61de93a38d3fbdba8ee935b3a05ab76242e98a589448dbe1d	FORMAL	Static map provenance	Keep recovery source; Git manifest/receipt is primary control plane	34/36 exact; do not reinterpret failures
ROUTE_A_S3_PREFILL	RTX3090_ROUTE_A	PREFILL	/root/share/c16_recovery_v3/raw/llama_3p2_1b/S0/recovery_v2/formal/s3_prefill/kernel-2741-ctx_0x5576b6d0d240.trace	5397471	73d3a0fc78f0ca885682a25a2c3910f67c690c7120273330da9ef5fc9294eddf	FORMAL	Route-A to Q2 bridge basis	Archive copy candidate to 164	One of six formal bridge traces
ROUTE_A_S4_PREFILL	RTX3090_ROUTE_A	PREFILL	/root/share/c16_recovery_v3/raw/llama_3p2_1b/S0/recovery_v2/formal/s4_prefill/kernel-2741-ctx_0x563a416d8b10.trace	5397471	05f5c56df7efce3978d01d46fa7ada52bd0f606842d1b352db497a404c25e4e6	FORMAL	Route-A to Q2 bridge basis	Archive copy candidate to 164	One of six formal bridge traces
ROUTE_A_S5_PREFILL	RTX3090_ROUTE_A	PREFILL	/root/share/c16_recovery_v3/raw/llama_3p2_1b/S0/recovery_v2/formal/s5_prefill/kernel-2741-ctx_0x561a33515a10.trace	5397471	0d375cb72bfa46d0e81b61e466a8e1375468bf14a5faa52627bbb2ea34f71c2d	FORMAL	Route-A to Q2 bridge basis	Archive copy candidate to 164	One of six formal bridge traces
ROUTE_A_DECODE2	RTX3090_ROUTE_A	DECODE	/root/share/c16_recovery_v3/raw/llama_3p2_1b/S0/recovery_v2/formal/s5_decode2/kernel-3402-ctx_0x564e3e389a60.trace	42431	eeed142fe57bc9d471e9005c4eed18d34682bd7f1bf864867b40b8397b9a2572	FORMAL	Route-A to Q2 bridge basis	Archive copy candidate to 164	One of six formal bridge traces
ROUTE_A_DECODE3	RTX3090_ROUTE_A	DECODE	/root/share/c16_recovery_v3/raw/llama_3p2_1b/S0/recovery_v2/formal/s5_decode3/kernel-4095-ctx_0x564e3e389a60.trace	42431	7f6b87af8e5f1b02c12f0e7b9f54849294df49dba02e7bbeb9af461060b83a85	FORMAL	Route-A to Q2 bridge basis	Archive copy candidate to 164	One of six formal bridge traces
ROUTE_A_DECODE4	RTX3090_ROUTE_A	DECODE	/root/share/c16_recovery_v3/raw/llama_3p2_1b/S0/recovery_v2/formal/s5_decode4/kernel-4788-ctx_0x564e3e389a60.trace	42431	2bd751511b380944992840e77f2478af211e4c91f8010427870a178dc3345f95	FORMAL	Route-A to Q2 bridge basis	Archive copy candidate to 164	One of six formal bridge traces
RTX4080_R5_RAW_AND_NCU	RTX4080_R5	U5_U6_U8_5_U9	Receipt-located; current old174 endpoint does not hold an independently verified raw root	UNKNOWN	UNKNOWN	UNKNOWN	Future comparative context only	Reconcile on node109 before any archival copy	R5 clean authority is Git commit b75f266; no rerun authorized
