script_or_tool	absolute_or_git_path	in_git	latest_known_commit	classification	runtime_scope	hardcoded_host_or_gpu	hardcoded_path	secret_risk	recommended_action	notes
adopted input validator	util/vm_tlb/c16/host_4080/c16_adopted_input_authority_v1_validate.py	yes	494ccc0f	REUSE	CPU-only	no	no	no	Retain in Git and run on destination before future use	Validates future-use adopted input only
historical frozen admission	util/vm_tlb/c16/host_4080/c16_frozen_input_admission.py	yes	b75f2667	REFERENCE_ONLY	CPU-only	no	no	no	Retain in Git; do not weaken	Fail-closed five-file historical contract remains unrecovered
Lane-G package preparation	util/vm_tlb/c16/lane_g/prepare_gpu_package.py	yes	20fb000e	REFERENCE_ONLY	Historical GPU packaging	SM86 and old driver assumptions	yes	no	Do not directly migrate as a 109 runner	Historical 3090/old environment source
retry570 multimodel capture	util/vm_tlb/c16/lane_g/retry570_multimodel_capture.py	yes	18190000	REFERENCE_ONLY	Historical GPU capture	RTX3090 driver 570 assumptions	yes	no	Keep as provenance only	Requires requalification for new hardware
retry570 Llama recovery publish	util/vm_tlb/c16/lane_g/retry570_llama_recovery_publish.py	yes	01d68800	REFERENCE_ONLY	Historical recovery	old174/3090 paths	yes	no	Keep as provenance only	Not a future capture runner
host4080 NCU helpers	util/vm_tlb/c16/host_4080/*ncu*	yes	b75f2667	REUSE	GPU tool setup; verify on destination	RTX4080-specific	possible	no	Retain Git; rebuild/verify on 109	R5 results must not be rerun merely for handover
host4080 NVBit fixtures/helpers	util/vm_tlb/c16/host_4080/*nvbit*	yes	b75f2667	REUSE	GPU tool setup; verify on destination	RTX4080-specific	possible	no	Retain Git; rebuild/verify on 109	No old binary is assumed portable
wheelhouse materializer	util/vm_tlb/c16/host_4080/materialize_c16_wheelhouse.sh	yes	b75f2667	MIGRATE	CPU dependency preparation	no	yes	no	Retain script only; rebuild wheelhouse in destination environment	Do not transfer implicit Python environment
trace address analyzer	util/llm_trace_capture/analyze_trace_address_coverage.py	yes	current	REUSE	CPU analysis	no	no	no	Retain Git; run on cataloged inputs	No raw trace moved in this review
NVBit post-processing	util/tracer_nvbit/tracer_tool/traces-processing/post-traces-processing.cpp	yes	current	REUSE	CPU build/analysis	toolchain-dependent	no	no	Rebuild on destination	No compiled artifact migration
recovery V3 helpers	util/vm_tlb/c16/lane_g/retry570_recovery_v3_*.py	yes	current	REFERENCE_ONLY	Historical recovery	old174 paths	yes	no	Keep Git provenance	Do not make old174 a live dependency
AutoDL bootstrap	util/vm_tlb/c16/lane_g/bootstrap_autodl.sh	yes	current	OBSOLETE	Historical host setup	AutoDL/SM86	yes	no	Do not use for destination	Retained solely for archaeology
transfer verify helpers	util/vm_tlb/c16/lane_g/runtime_package_transfer.py; util/vm_tlb/c16/lane_g/transfer_verify.py	yes	current	REFERENCE_ONLY	Historical transfer	old paths	yes	no	Use only as design reference	New 109/174/164 transfer needs a new explicit manifest
staging mirrored Lane-G source	/root/share/c16_recovery_v3/staging/*/g_source/util/vm_tlb/c16/lane_g	no; mirrored from Git	UNKNOWN	OBSOLETE	Archival source copy	old174	YES	no	Do not migrate as code	Duplicate historical copies are not authoritative over Git
exchange mirrored source	/workspace/c16_exchange/autodl_wave1/*/g_source/util/vm_tlb/c16/lane_g	no; mirrored from Git	UNKNOWN	OBSOLETE	Archival source copy	old174	YES	no	Do not migrate as code	Duplicate historical copies are not authoritative over Git
