object_id	class	current_location	future_required_by	status	copy_or_rebuild_action	verification_gate	priority	notes
Git control plane	GIT_REQUIRED	origin repository	109, new174/2239, 164	FORMAL	Clone exact handover commit	git commit and review-pack SHA256SUMS	HIGH	No bulk evidence in Git
V2C adopted Llama input	GIT_REQUIRED	Git assets path	future 109 Llama work	FORMAL	Clone with Git	adopted validator PASS	HIGH	Future use only; not a historical recovery
RTX3090 minimum raw comparison set	STORAGE_REQUIRED	RECOVERY_V3 paths in HISTORICAL_TRACE_CATALOG.tsv	164 historical comparison archive	FORMAL	Later copy-not-move to candidate 164 root	Source size/SHA equals destination size/SHA	HIGH	Six Route-B artifacts plus six Route-A bridge traces, 763868911 bytes
RTX3090 maps and bridge manifests	GIT_REQUIRED	Git/recovery receipts	new174 catalog	FORMAL	Keep Git manifests; retain recovery source	Manifest receipt checks	HIGH	34/36 exact and two failed-closed rows are frozen
Entire recovery endpoint	SOURCE_RETAIN	/root/share/c16_recovery_v3	bounded future archaeology	FORMAL	No bulk copy in V0	None; preserve source	MEDIUM	Do not substitute it for a curated archive
Recovered model payloads	SOURCE_RETAIN	/root/share/c16_recovery_v3/models	future model provisioning	FORMAL	Re-download or copy under a later model-specific manifest	Immutable revision plus full manifest/hash	MEDIUM	About 70GB; not required for initial control-plane handover
Qwen token receipt payloads	STORAGE_REQUIRED	staging token-receipt paths in INPUT_BINDING_AUTHORITY.tsv	new174 input catalog and future producer	FORMAL	Later small copy-not-move or Git-controlled manifest decision	Per-file source/destination SHA	MEDIUM	No V0 data transfer
Qwen3/DeepSeek input binding	UNKNOWN	No historical binding found	future capture	UNKNOWN	Create a new binding before use	Explicit immutable input receipt	HIGH	Model hash does not satisfy this gate
RTX4080 R5 raw/NCU artifacts	UNKNOWN	Receipt-located, not independently verified on old174	109 and future archival planning	UNKNOWN	Reconcile existing node109 locations without rerun	Path, size, and SHA receipt closure	MEDIUM	R5 scientific authority is Git commit b75f266; raw presence is not assumed here
Qwen3-30B-A3B payload	UNKNOWN	Recorded metadata source only	No active V0 consumer	UNKNOWN	Separate scope required before inspect/copy	Non-destructive full manifest and input binding	LOW	Not a handover blocker
Exchange returned diagnostic profiles	SOURCE_RETAIN	/workspace/c16_exchange/autodl_wave1	bounded historical comparison	DIAGNOSTIC	Retain source; select only on concrete research question	Receipt/path/SHA reconciliation	LOW	No bulk migration or rerun
