static_index	trace_sha256	context_sha256	records	overflow	classification
12	db7ab2f6f80e3eb7bb4955f8424a679014b48a9d9e152a17f582e9144fc93375	a48bb03e30d701709fc2adef333dffd1cc6630f38ab18a29783a4881c978963f	0	0	ZERO_EXECUTION_PROVEN
14	54aa0524f84e3062fc274a5a74417d401d74b7273e268561a0f99488fea23dbf	1e7915d97b70e227e8a2834749a57ead060639f5466dc067b002608048e40273	0	0	ZERO_EXECUTION_PROVEN
101	4b192e7dcff91602ba391136f7afaf6fdf4a83165d958336333ef4c3c5c76923	44a3d6a7d26c11213de0ae4eca843f0395b6ef3c5ca86b137dec74e547737a4b	24576	0	EXECUTED_SHARD
103	93ab460b89dd2aa0351d35e52acdd414d38ea43f8bcda4cfd63375f7925504ce	3b8e50a1aba0624da674723d2332fde07c70ad4909bd6c262cf88b2bef5f9121	24576	0	EXECUTED_SHARD
105	a4a66d3aa5be5c256d7e2d977d2caf51506a89289409e48b36dfedd1d1bcd58f	49c84a3492a3f83b532388424eba8fe811093fb6a87ab10948f3916c4bb6a97a	24576	0	EXECUTED_SHARD
107	7473a129b356dace2767bc0f17cf3f9a3a2d855b93c07d4ecccb30195e4b6226	8cf5697df69eda3f1d4843d7a85a31408e4ee29af6cadb25870226daaf658975	24576	0	EXECUTED_SHARD
109	3d83f402ccd5ebd8d7de150b3d2fbff320765eda223af767c865fdd3e5e8cecc	2de8be52a87510202e7d7df096c860e181965c466ccd15e739790d9df55ac934	24576	0	EXECUTED_SHARD
111	53961ef51f4a506148f332a75c5041f129573d3272470eab31b435249c1e4442	250bed34bdd9d59f67e4f0f83ecb10c92a3197361e6d98dd7bb94b708951b50f	24576	0	EXECUTED_SHARD
113	5fb933d5214e9caca878073f2dac9da970ed33397aa32131537e436d547be08a	c1404504294cc425210b9d272e3e9e707e2073bc9a9ba93c340b87c4c3381d25	24576	0	EXECUTED_SHARD
115	63bce1ba3bebcd9ec7d816aed08e5e00473d45b7bc2996061839538b9269305d	73d100694e3b1c1dc18b4c39e8209af49d482d62ed7e7565facd9c165f3461fa	24576	0	EXECUTED_SHARD
