artifact_id	run_id	classification	artifact_kind	remote_path	local_path	size_bytes	sha256	dual_endpoint_state
C16_G3_NVBIT_BOOTSTRAP_RECEIPT	TOOL_BOOTSTRAP	NON_SCIENTIFIC_DIAGNOSTIC	bootstrap_receipt	/root/autodl-tmp/c16/nvbit/nvbit-1.7.6-c16-g3/C16_G3_NVBIT_BOOTSTRAP_RECEIPT.json	/workspace/worktrees/accel-sim-vm-c16-g-runtime/artifacts/c16_g_autodl/nvbit_bootstrap/C16_G3_NVBIT_BOOTSTRAP_RECEIPT.json	1261	9ea5b74278c7479fc3e5ab4896a7db6e50f28e612dddd158f4c34c1074bbb092	REMOTE_SIZE_SHA256_EQUALS_LOCAL
C16_G3_FIXTURE_PREPATH_SETUP	73097e66-3ea9-426b-a55d-af7853524170	NON_SCIENTIFIC_DIAGNOSTIC	setup_receipt	/root/autodl-tmp/c16/runs/g3_nvbit_fixture_73097e66-3ea9-426b-a55d-af7853524170/C16_G3_NVBIT_FIXTURE_SETUP_RECEIPT.json	/workspace/worktrees/accel-sim-vm-c16-g-runtime/artifacts/c16_g_autodl/g3_nvbit_fixture_73097e66-3ea9-426b-a55d-af7853524170/C16_G3_NVBIT_FIXTURE_SETUP_RECEIPT.json	2282	21c28793d6480115f1dd611c3cb8216213799f9a4def70628fc169bfa36b8ff0	REMOTE_SIZE_SHA256_EQUALS_LOCAL
C16_G3_FIXTURE_PREPATH_TARGET	73097e66-3ea9-426b-a55d-af7853524170	NON_SCIENTIFIC_DIAGNOSTIC	target_receipt	/root/autodl-tmp/c16/runs/g3_nvbit_fixture_73097e66-3ea9-426b-a55d-af7853524170/C16_G3_NVBIT_FIXTURE_TARGET.json	/workspace/worktrees/accel-sim-vm-c16-g-runtime/artifacts/c16_g_autodl/g3_nvbit_fixture_73097e66-3ea9-426b-a55d-af7853524170/C16_G3_NVBIT_FIXTURE_TARGET.json	1658	a3e5a8ffac699ccccd23734a2de78d23fe23753a4d9a74f93b286315952df25e	REMOTE_SIZE_SHA256_EQUALS_LOCAL
C16_G3_FIXTURE_PREPATH_WRAPPER	73097e66-3ea9-426b-a55d-af7853524170	NON_SCIENTIFIC_DIAGNOSTIC	wrapper_receipt	/root/autodl-tmp/c16/runs/g3_nvbit_fixture_73097e66-3ea9-426b-a55d-af7853524170/C16_G3_NVBIT_FIXTURE_WRAPPER_RECEIPT.json	/workspace/worktrees/accel-sim-vm-c16-g-runtime/artifacts/c16_g_autodl/g3_nvbit_fixture_73097e66-3ea9-426b-a55d-af7853524170/C16_G3_NVBIT_FIXTURE_WRAPPER_RECEIPT.json	3420	b10771d52ad8735c6c853e5080ddbc5dd248e749c79f0ab0a6cd1ba8a8f60715	REMOTE_SIZE_SHA256_EQUALS_LOCAL
C16_G3_FIXTURE_PREPATH_BUILD	73097e66-3ea9-426b-a55d-af7853524170	NON_SCIENTIFIC_DIAGNOSTIC	fixture_binary	/root/autodl-tmp/c16/runs/g3_nvbit_fixture_73097e66-3ea9-426b-a55d-af7853524170/nvbit_fixture	/workspace/worktrees/accel-sim-vm-c16-g-runtime/artifacts/c16_g_autodl/g3_nvbit_fixture_73097e66-3ea9-426b-a55d-af7853524170/nvbit_fixture	998072	5e348e068ee2252e4d27695693db00dfafc93e2965bbb7f915e6d94f57550496	REMOTE_SIZE_SHA256_EQUALS_LOCAL
C16_G3_FIXTURE_PREPATH_BUILD_LOG	73097e66-3ea9-426b-a55d-af7853524170	NON_SCIENTIFIC_DIAGNOSTIC	build_log	/root/autodl-tmp/c16/runs/g3_nvbit_fixture_73097e66-3ea9-426b-a55d-af7853524170/NVBIT_FIXTURE_BUILD.log	/workspace/worktrees/accel-sim-vm-c16-g-runtime/artifacts/c16_g_autodl/g3_nvbit_fixture_73097e66-3ea9-426b-a55d-af7853524170/NVBIT_FIXTURE_BUILD.log	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	REMOTE_SIZE_SHA256_EQUALS_LOCAL
C16_G3_FIXTURE_SETUP	5b9d3c9f-7296-479a-9f40-7e9d1a1dd9ee	NON_SCIENTIFIC_DIAGNOSTIC	setup_receipt	/root/autodl-tmp/c16/runs/g3_nvbit_fixture_5b9d3c9f-7296-479a-9f40-7e9d1a1dd9ee/C16_G3_NVBIT_FIXTURE_SETUP_RECEIPT.json	/workspace/worktrees/accel-sim-vm-c16-g-runtime/artifacts/c16_g_autodl/g3_nvbit_fixture_5b9d3c9f-7296-479a-9f40-7e9d1a1dd9ee/C16_G3_NVBIT_FIXTURE_SETUP_RECEIPT.json	2366	4c7300886034f4b9acbe591b131f03993e8aabdf543c1cf9edc624f9fcd52047	REMOTE_SIZE_SHA256_EQUALS_LOCAL
C16_G3_FIXTURE_TARGET	5b9d3c9f-7296-479a-9f40-7e9d1a1dd9ee	NON_SCIENTIFIC_DIAGNOSTIC	target_receipt	/root/autodl-tmp/c16/runs/g3_nvbit_fixture_5b9d3c9f-7296-479a-9f40-7e9d1a1dd9ee/C16_G3_NVBIT_FIXTURE_TARGET.json	/workspace/worktrees/accel-sim-vm-c16-g-runtime/artifacts/c16_g_autodl/g3_nvbit_fixture_5b9d3c9f-7296-479a-9f40-7e9d1a1dd9ee/C16_G3_NVBIT_FIXTURE_TARGET.json	1658	fc0c44428230de42085ffc4826843e6ee2ff343eb1fcbe3ec349c2cdd8b2a117	REMOTE_SIZE_SHA256_EQUALS_LOCAL
C16_G3_FIXTURE_WRAPPER	5b9d3c9f-7296-479a-9f40-7e9d1a1dd9ee	NON_SCIENTIFIC_DIAGNOSTIC	wrapper_receipt	/root/autodl-tmp/c16/runs/g3_nvbit_fixture_5b9d3c9f-7296-479a-9f40-7e9d1a1dd9ee/C16_G3_NVBIT_FIXTURE_WRAPPER_RECEIPT.json	/workspace/worktrees/accel-sim-vm-c16-g-runtime/artifacts/c16_g_autodl/g3_nvbit_fixture_5b9d3c9f-7296-479a-9f40-7e9d1a1dd9ee/C16_G3_NVBIT_FIXTURE_WRAPPER_RECEIPT.json	3422	05ab4dee12e26bba552d80c922b9b60b68fa77a6fa17c509d05cdc7e46033b91	REMOTE_SIZE_SHA256_EQUALS_LOCAL
C16_G3_FIXTURE_BUILD_LOG	5b9d3c9f-7296-479a-9f40-7e9d1a1dd9ee	NON_SCIENTIFIC_DIAGNOSTIC	build_log	/root/autodl-tmp/c16/runs/g3_nvbit_fixture_5b9d3c9f-7296-479a-9f40-7e9d1a1dd9ee/NVBIT_FIXTURE_BUILD.log	/workspace/worktrees/accel-sim-vm-c16-g-runtime/artifacts/c16_g_autodl/g3_nvbit_fixture_5b9d3c9f-7296-479a-9f40-7e9d1a1dd9ee/NVBIT_FIXTURE_BUILD.log	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	REMOTE_SIZE_SHA256_EQUALS_LOCAL
C16_G3_FIXTURE_POSTPROCESS	5b9d3c9f-7296-479a-9f40-7e9d1a1dd9ee	NON_SCIENTIFIC_DIAGNOSTIC	postprocessor_log	/root/autodl-tmp/c16/runs/g3_nvbit_fixture_5b9d3c9f-7296-479a-9f40-7e9d1a1dd9ee/NVBIT_FIXTURE_POSTPROCESS.log	/workspace/worktrees/accel-sim-vm-c16-g-runtime/artifacts/c16_g_autodl/g3_nvbit_fixture_5b9d3c9f-7296-479a-9f40-7e9d1a1dd9ee/NVBIT_FIXTURE_POSTPROCESS.log	144	7b64275875903749f5f1ab4d88a92ad6625c2c4c5e2e1c21ba842d8d9732ee13	REMOTE_SIZE_SHA256_EQUALS_LOCAL
C16_G3_FIXTURE_BINARY	5b9d3c9f-7296-479a-9f40-7e9d1a1dd9ee	NON_SCIENTIFIC_DIAGNOSTIC	fixture_binary	/root/autodl-tmp/c16/runs/g3_nvbit_fixture_5b9d3c9f-7296-479a-9f40-7e9d1a1dd9ee/nvbit_fixture	/workspace/worktrees/accel-sim-vm-c16-g-runtime/artifacts/c16_g_autodl/g3_nvbit_fixture_5b9d3c9f-7296-479a-9f40-7e9d1a1dd9ee/nvbit_fixture	998072	ffe199174d165060c020c7e4fefed732445ebc33b5ef63848c986fb2c4aacca6	REMOTE_SIZE_SHA256_EQUALS_LOCAL
C16_G3_FIXTURE_TRACE	5b9d3c9f-7296-479a-9f40-7e9d1a1dd9ee	NON_SCIENTIFIC_DIAGNOSTIC	nvbit_trace_xz	/root/autodl-tmp/c16/runs/g3_nvbit_fixture_5b9d3c9f-7296-479a-9f40-7e9d1a1dd9ee/raw/traces/kernel-1-ctx_0x55750e4208b0.trace.xz	/workspace/worktrees/accel-sim-vm-c16-g-runtime/artifacts/c16_g_autodl/g3_nvbit_fixture_5b9d3c9f-7296-479a-9f40-7e9d1a1dd9ee/raw/traces/kernel-1-ctx_0x55750e4208b0.trace.xz	680	dd1ebd8e412f08e546357150dd9f4f3234c60401f529cde06082f25fac03bf20	REMOTE_SIZE_SHA256_EQUALS_LOCAL
