relative_path	size_bytes	sha256
AMORTIZATION_RESULTS.tsv	66	49b2daf2a9c4ae1d3b708963cbd5d47155edda99b5833b923a163690e186b848
FASTPATH_KERNEL_STRATA.tsv	8410	3f133422b66b5ec2646facacb01211225c65a75066dc7f689d1018ee9f534f3d
FINAL_DECISION.md	187	7caed56574179439694776576df4887535328d97af0508770e5585b34c2d0d8c
MODEL_ADMISSION_RECEIPT.json	2303	9967fde36ebaacd07ecb313b81ae54325737c44f9deb1dc8f5386614b82bcfd1
PREFIX_FIXTURE_RECEIPT.json	198	367e96e4df382da968be0d0051292b82b65a0774432ee2f16acb2cb80eeb6d03
PREREGISTRATION.json	447	6c885f34bb8ac79e886bf40d49e48e4a6ba6e33cc665747abab21952cb1eed9f
PRE_EXECUTION_INVENTORY.md	465	26afda10f9681e11457904c20b5e11f44875b985acdb0ad8692e0aeeef17faa1
R54_DECISION.md	588	c51abfa86d340ab3f160763bdf16926596db7b923ffb77e2846e594e4da46a05
R54_EXACT_STATE_SCHEMA.tsv	320	3be933d4be0d055817df314c5211fa46e298522744eb4aa8c0bd79a850cca9f1
R54_FASTPATH_CANARY_RECEIPT.json	230	2f03ab1ea44c34cb2263670ca00d5465a05b4473a0f24d2ac103cbb68abed180
R54_SOURCE_AND_CLOSEST_WORK_AUDIT.md	516	351e6f8fcb446a439d8fbb616ef02b1d0f4e19a7d0d090586443ad143043c979
R55_PLATFORM_AND_CLOSEST_WORK_AUDIT.md	498	dc79c94172666a14410bfd7c151445173d4fdfdd40c4a47b27409dd119d02bf0
README.md	363	d5f4a9555f097e08a5d8a2d50f6315a3c6384c257320b75b95687d680265ed60
REPORT.md	363	d5f4a9555f097e08a5d8a2d50f6315a3c6384c257320b75b95687d680265ed60
RESTORE_SEMANTIC_RESULTS.tsv	67	9e707ebe60e4fb913bd13d8562490c7a5e7b84f5dcdda019a1b07191b4b867f0
RESTORE_TIMING.tsv	67	9e707ebe60e4fb913bd13d8562490c7a5e7b84f5dcdda019a1b07191b4b867f0
RUNTIME_FASTPATH_RECEIPT.json	1081	21db3f1c146d9e34c3383a2bf58c24ef6d1fb12222e69ba947838429c47d744e
SEMANTIC_QUALIFICATION.tsv	67	9e707ebe60e4fb913bd13d8562490c7a5e7b84f5dcdda019a1b07191b4b867f0
SNAPSHOT_COPY_ACCOUNTING.tsv	61	b277d8d68095de7402a20aaafa5389a62a0aced1f91f86c03be650b284df6d41
SNAPSHOT_PRODUCTION_TIMING.tsv	61	b277d8d68095de7402a20aaafa5389a62a0aced1f91f86c03be650b284df6d41
environment_lock.txt	1512	9c46732b0f6afd4435fb236d35b4825d653e37ecccd1d880f97d08519cf8cec2
model/Qwen3_5_0_8B_c6046cd1/.cache/huggingface/.gitignore	1	684888c0ebb17f374298b65ee2807526c066094c701bcc7ebbe1c1095f494fc1
model/Qwen3_5_0_8B_c6046cd1/.cache/huggingface/download/.gitattributes.lock	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
model/Qwen3_5_0_8B_c6046cd1/.cache/huggingface/download/.gitattributes.metadata	101	34fdc819cca28bb381fb30f6a4e109c6231aaf16da40ba092fc01d3768b67726
model/Qwen3_5_0_8B_c6046cd1/.cache/huggingface/download/LICENSE.lock	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
model/Qwen3_5_0_8B_c6046cd1/.cache/huggingface/download/LICENSE.metadata	101	69a97c44029a905b53294a563cd18b742c9aed489e28f32cbd9b54e2e7518863
model/Qwen3_5_0_8B_c6046cd1/.cache/huggingface/download/README.md.lock	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
model/Qwen3_5_0_8B_c6046cd1/.cache/huggingface/download/README.md.metadata	101	2b9a6a6ea3b7117c9524d15370cdd9bde1a9062364117f08c3e92a926fefcac2
model/Qwen3_5_0_8B_c6046cd1/.cache/huggingface/download/chat_template.jinja.lock	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
model/Qwen3_5_0_8B_c6046cd1/.cache/huggingface/download/chat_template.jinja.metadata	101	6c5d82d55723513f3b8546843212de973e6c9b571c3d24551b65c05b0cbd5b5a
model/Qwen3_5_0_8B_c6046cd1/.cache/huggingface/download/config.json.lock	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
model/Qwen3_5_0_8B_c6046cd1/.cache/huggingface/download/config.json.metadata	101	a8844c405f89ae7bbd9da24604e8f4f7aa6da50672347accb1aa4b16ff115a17
model/Qwen3_5_0_8B_c6046cd1/.cache/huggingface/download/merges.txt.lock	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
model/Qwen3_5_0_8B_c6046cd1/.cache/huggingface/download/merges.txt.metadata	101	3ec6ffe8c7d2f91139fc7baa322404798da52e1413428bb19a9b58fcc4bf9b36
model/Qwen3_5_0_8B_c6046cd1/.cache/huggingface/download/model.safetensors-00001-of-00001.safetensors.lock	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
model/Qwen3_5_0_8B_c6046cd1/.cache/huggingface/download/model.safetensors-00001-of-00001.safetensors.metadata	125	890a840a2327b73a9620a46557d969cc08b8dcc9a3631ffb3916adf4ac36206c
model/Qwen3_5_0_8B_c6046cd1/.cache/huggingface/download/model.safetensors.index.json.lock	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
