workload	source_class	compact_evidence_path	evidence_sha256	config_sha256	payload_sha256	core_sha	runtime_sha256	observer_sha256	scientific_framework_sha	raw_run_ref
ATAX	REUSABLE_SOURCE_INERT_BASE	docs/dtc_l1/fast64/generated/fast64_3_atax_base_alias_v3/fast64_3_precomputed_atax_base_cap8192_a1_r2.json	b1169c7242595a971f6adf7b7eb79c2d37dc86336bceb321cee9c94c4005d140	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	e9b9ccfcbb05f74016d5fcc2eedb63306e42b2a13b340b2dd36ce5ead5f63269	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	/workspace/fast64-runs/fast64_3_precomputed_atax_base_cap8192_a1_r2
BICG	REUSABLE_SOURCE_INERT_BASE	docs/dtc_l1/fast64/generated/qualification_r2_full_wave_alias_v2/fast64_1r2_bicg_base_cap8192_a1.json	37852ab2abff46296749948650a52a03c60bcab43ba3a63d3dc8028152aba298	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	e9b9ccfcbb05f74016d5fcc2eedb63306e42b2a13b340b2dd36ce5ead5f63269	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	/workspace/fast64-runs/fast64_1r2_bicg_base_cap8192_a1
GESUMMV	REPAIRED_CORE_FRESH	docs/dtc_l1/fast64/generated/fast64_repaired_ramp2_v1/fast64_gesummv_base_core95ccdb7a_a1_r1.json	241227b7fd32b10e3e5ed5c169fb8c4383c29b3f2f616976cfd29db11e1df5ae	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	e9b9ccfcbb05f74016d5fcc2eedb63306e42b2a13b340b2dd36ce5ead5f63269	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	/workspace/fast64-repaired-ramp2/fast64_gesummv_base_core95ccdb7a_a1_r1
GEMM	REUSABLE_SOURCE_INERT_BASE	docs/dtc_l1/fast64/generated/fast64_3_gemm_base_alias_v4/fast64_3_precomputed_gemm_base_cap8192_a1_r2.json	7be02d3261fe79200db4163e2719268ab2e291e0dae1c3f448c56713595dd895	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	e9b9ccfcbb05f74016d5fcc2eedb63306e42b2a13b340b2dd36ce5ead5f63269	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	/workspace/fast64-runs/fast64_3_precomputed_gemm_base_cap8192_a1_r2
2DConvolution	REPAIRED_CORE_FRESH	docs/dtc_l1/fast64/generated/fast64_3_tag_identity_repair_v2/fast64_3_2DConvolution_base_core6587238c_a1_v1.json	f74debdf021b1dfb333cbd9bbb9601fdb6b479193d801c8a6fd4021af45b3961	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	e9b9ccfcbb05f74016d5fcc2eedb63306e42b2a13b340b2dd36ce5ead5f63269	6587238c60214d99491f4048e28ce8a3458c1509	29a3dd9f57a5accb89822ca3fcf06b11c437bfe864ee43d2ff5f26c8c056f3c1	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	/workspace/fast64-stage3-tag-identity-repair-v2/fast64_3_2DConvolution_base_core6587238c_a1_v1
Btree	REPAIRED_CORE_FRESH	docs/dtc_l1/fast64/generated/fast64_repaired_ramp_v1/fast64_btree_base_core95ccdb7a_a1_r1.json	57f13bde510dc93d4111d04aec38722498c4a4f79d36d97a35cf5e26b847b805	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	e9b9ccfcbb05f74016d5fcc2eedb63306e42b2a13b340b2dd36ce5ead5f63269	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	/workspace/fast64-repaired-ramp/fast64_btree_base_core95ccdb7a_a1_r1
DWT2D	REUSABLE_SOURCE_INERT_BASE	docs/dtc_l1/fast64/generated/fast64_3_dwt2d_base_alias_v3/fast64_3_precomputed_dwt2d_base_cap8192_a1_r2.json	66d1a380bba645a46beee317484fd3d060491c2a86bd9d63bf8d7e15958bfd99	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	e9b9ccfcbb05f74016d5fcc2eedb63306e42b2a13b340b2dd36ce5ead5f63269	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	/workspace/fast64-runs/fast64_3_precomputed_dwt2d_base_cap8192_a1_r2
Gaussian	REUSABLE_SOURCE_INERT_BASE	docs/dtc_l1/fast64/generated/fast64_3_dynamic_base_v1/fast64_3_Gaussian_base_cap8192_a1_v2.json	abf3e32753db28cd366562d7349ef58ab63f44d83df7560e5ad77da3c04ca73d	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	e9b9ccfcbb05f74016d5fcc2eedb63306e42b2a13b340b2dd36ce5ead5f63269	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	/workspace/fast64-runs/fast64_3_Gaussian_base_cap8192_a1_v2
Hotspot1	REPAIRED_CORE_FRESH	docs/dtc_l1/fast64/generated/fast64_repaired_core_qual_v1/fast64_hotspot1_base_core95ccdb7a_a1_v1.json	6ced15cd179d2320e5781a35c7f2dbd4f3ec8b805176fdfbcfcaa623ac4da694	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	e9b9ccfcbb05f74016d5fcc2eedb63306e42b2a13b340b2dd36ce5ead5f63269	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	/workspace/fast64-repair-formal/fast64_hotspot1_base_core95ccdb7a_a1_v1
LUD	REUSABLE_SOURCE_INERT_BASE	docs/dtc_l1/fast64/generated/fast64_3_dynamic_base_v1/fast64_3_LUD_base_cap8192_a1_v2.json	efe70936a762f5c91f04843ecb6421f44816f9a8fd17a4470276b21c35804f0f	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	e9b9ccfcbb05f74016d5fcc2eedb63306e42b2a13b340b2dd36ce5ead5f63269	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	/workspace/fast64-runs/fast64_3_LUD_base_cap8192_a1_v2
NN	REPAIRED_CORE_FRESH	docs/dtc_l1/fast64/generated/fast64_3_nn_core95_v1/fast64_3_nn_base_core95ccdb7a_a1_v1.json	ea48a21ab2cca5a9df0e992ae675315a23e47995422b69f2f2e8efd9e7774930	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	e9b9ccfcbb05f74016d5fcc2eedb63306e42b2a13b340b2dd36ce5ead5f63269	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	/workspace/fast64-repaired-ramp3/fast64_3_nn_base_core95ccdb7a_a1_v1
MRI-Q	REPAIRED_CORE_FRESH	docs/dtc_l1/fast64/generated/fast64_repaired_ramp_v1/fast64_mriq_base_core95ccdb7a_a1_r1.json	cd86c453e6da31773d6a20700e13b3dc48a574032eb71b52d74cc172af7327df	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	e9b9ccfcbb05f74016d5fcc2eedb63306e42b2a13b340b2dd36ce5ead5f63269	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	/workspace/fast64-repaired-ramp/fast64_mriq_base_core95ccdb7a_a1_r1
