workload	elapsed_wall	user_seconds	system_seconds	max_rss_kb	cycles_per_host_second	instructions_per_host_second	raw_run_ref
ATAX	9:51:30	35322.18	11.37	2367488	UNSUPPORTED	UNSUPPORTED	/workspace/fast64-runs/fast64_3_precomputed_atax_base_cap8192_a1_r2
BICG	8:49:45	31637.87	12.2	2367488	UNSUPPORTED	UNSUPPORTED	/workspace/fast64-runs/fast64_1r2_bicg_base_cap8192_a1
GESUMMV	21:54:00	74933.96	2629.51	3297280	UNSUPPORTED	UNSUPPORTED	/workspace/fast64-repaired-ramp2/fast64_gesummv_base_core95ccdb7a_a1_r1
GEMM	5:29:41	19641.63	49.96	4931584	UNSUPPORTED	UNSUPPORTED	/workspace/fast64-runs/fast64_3_precomputed_gemm_base_cap8192_a1_r2
2DConvolution	4:03:27	14505.66	11.9	499712	UNSUPPORTED	UNSUPPORTED	/workspace/fast64-stage3-tag-identity-repair-v2/fast64_3_2DConvolution_base_core6587238c_a1_v1
Btree	44:54.48	2671.31	8.71	618496	UNSUPPORTED	UNSUPPORTED	/workspace/fast64-repaired-ramp/fast64_btree_base_core95ccdb7a_a1_r1
DWT2D	13:28.23	800.87	3.56	905216	UNSUPPORTED	UNSUPPORTED	/workspace/fast64-runs/fast64_3_precomputed_dwt2d_base_cap8192_a1_r2
Gaussian	47:53.46	2848.64	10.17	487424	UNSUPPORTED	UNSUPPORTED	/workspace/fast64-runs/fast64_3_Gaussian_base_cap8192_a1_v2
Hotspot1	22:01.53	1307.75	7.28	696320	UNSUPPORTED	UNSUPPORTED	/workspace/fast64-repair-formal/fast64_hotspot1_base_core95ccdb7a_a1_v1
LUD	18:32.01	1097.29	9.4	573440	UNSUPPORTED	UNSUPPORTED	/workspace/fast64-runs/fast64_3_LUD_base_cap8192_a1_v2
NN	0:08.65	7.9	0.62	450560	UNSUPPORTED	UNSUPPORTED	/workspace/fast64-repaired-ramp3/fast64_3_nn_base_core95ccdb7a_a1_v1
MRI-Q	30:40.10	1814.39	15.65	4128768	UNSUPPORTED	UNSUPPORTED	/workspace/fast64-repaired-ramp/fast64_mriq_base_core95ccdb7a_a1_r1
