model_label	decoder_layer_id	attention_bytes	dense_mlp_bytes	norm_other_bytes	router_gate_bytes	routed_expert_bytes	shared_expert_bytes	total_layer_parameter_bytes	source_shard_count	source_shards	expert_count_represented	per_expert_min_bytes	per_expert_median_bytes	per_expert_max_bytes
Qwen3-8B	0	83886592	301989888	16384	0	0	0	385892864	1	model-00001-of-00005.safetensors	0	0	0	0
Qwen3-8B	1	83886592	301989888	16384	0	0	0	385892864	1	model-00001-of-00005.safetensors	0	0	0	0
Qwen3-8B	2	83886592	301989888	16384	0	0	0	385892864	1	model-00001-of-00005.safetensors	0	0	0	0
Qwen3-8B	3	83886592	301989888	16384	0	0	0	385892864	1	model-00001-of-00005.safetensors	0	0	0	0
Qwen3-8B	4	83886592	301989888	16384	0	0	0	385892864	1	model-00001-of-00005.safetensors	0	0	0	0
Qwen3-8B	5	83886592	301989888	16384	0	0	0	385892864	1	model-00001-of-00005.safetensors	0	0	0	0
Qwen3-8B	6	83886592	301989888	16384	0	0	0	385892864	1	model-00001-of-00005.safetensors	0	0	0	0
Qwen3-8B	7	83886592	301989888	16384	0	0	0	385892864	2	model-00001-of-00005.safetensors;model-00002-of-00005.safetensors	0	0	0	0
Qwen3-8B	8	83886592	301989888	16384	0	0	0	385892864	1	model-00002-of-00005.safetensors	0	0	0	0
Qwen3-8B	9	83886592	301989888	16384	0	0	0	385892864	1	model-00002-of-00005.safetensors	0	0	0	0
Qwen3-8B	10	83886592	301989888	16384	0	0	0	385892864	1	model-00002-of-00005.safetensors	0	0	0	0
Qwen3-8B	11	83886592	301989888	16384	0	0	0	385892864	1	model-00002-of-00005.safetensors	0	0	0	0
Qwen3-8B	12	83886592	301989888	16384	0	0	0	385892864	1	model-00002-of-00005.safetensors	0	0	0	0
Qwen3-8B	13	83886592	301989888	16384	0	0	0	385892864	1	model-00002-of-00005.safetensors	0	0	0	0
Qwen3-8B	14	83886592	301989888	16384	0	0	0	385892864	1	model-00002-of-00005.safetensors	0	0	0	0
Qwen3-8B	15	83886592	301989888	16384	0	0	0	385892864	1	model-00002-of-00005.safetensors	0	0	0	0
Qwen3-8B	16	83886592	301989888	16384	0	0	0	385892864	1	model-00002-of-00005.safetensors	0	0	0	0
Qwen3-8B	17	83886592	301989888	16384	0	0	0	385892864	2	model-00002-of-00005.safetensors;model-00003-of-00005.safetensors	0	0	0	0
Qwen3-8B	18	83886592	301989888	16384	0	0	0	385892864	1	model-00003-of-00005.safetensors	0	0	0	0
Qwen3-8B	19	83886592	301989888	16384	0	0	0	385892864	1	model-00003-of-00005.safetensors	0	0	0	0
Qwen3-8B	20	83886592	301989888	16384	0	0	0	385892864	1	model-00003-of-00005.safetensors	0	0	0	0
Qwen3-8B	21	83886592	301989888	16384	0	0	0	385892864	1	model-00003-of-00005.safetensors	0	0	0	0
Qwen3-8B	22	83886592	301989888	16384	0	0	0	385892864	1	model-00003-of-00005.safetensors	0	0	0	0
Qwen3-8B	23	83886592	301989888	16384	0	0	0	385892864	1	model-00003-of-00005.safetensors	0	0	0	0
Qwen3-8B	24	83886592	301989888	16384	0	0	0	385892864	1	model-00003-of-00005.safetensors	0	0	0	0
Qwen3-8B	25	83886592	301989888	16384	0	0	0	385892864	1	model-00003-of-00005.safetensors	0	0	0	0
Qwen3-8B	26	83886592	301989888	16384	0	0	0	385892864	1	model-00003-of-00005.safetensors	0	0	0	0
Qwen3-8B	27	83886592	301989888	16384	0	0	0	385892864	2	model-00003-of-00005.safetensors;model-00004-of-00005.safetensors	0	0	0	0
Qwen3-8B	28	83886592	301989888	16384	0	0	0	385892864	1	model-00004-of-00005.safetensors	0	0	0	0
Qwen3-8B	29	83886592	301989888	16384	0	0	0	385892864	1	model-00004-of-00005.safetensors	0	0	0	0
Qwen3-8B	30	83886592	301989888	16384	0	0	0	385892864	1	model-00004-of-00005.safetensors	0	0	0	0
Qwen3-8B	31	83886592	301989888	16384	0	0	0	385892864	1	model-00004-of-00005.safetensors	0	0	0	0
