model_label	model_id	exact_revision	tensor_name	static_role	decoder_layer_id	source_shard	dtype	shape	exact_tensor_bytes
Qwen3-8B	Qwen/Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	lm_head.weight	LM_HEAD_WEIGHT		model-00005-of-00005.safetensors	BF16	151936x4096	1244659712
Qwen3-8B	Qwen/Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	model.embed_tokens.weight	EMBEDDING_WEIGHT		model-00001-of-00005.safetensors	BF16	151936x4096	1244659712
Qwen3-8B	Qwen/Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	model.layers.0.input_layernorm.weight	NORM_WEIGHT	0	model-00001-of-00005.safetensors	BF16	4096	8192
Qwen3-8B	Qwen/Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	model.layers.0.mlp.down_proj.weight	DENSE_MLP_WEIGHT	0	model-00001-of-00005.safetensors	BF16	4096x12288	100663296
Qwen3-8B	Qwen/Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	model.layers.0.mlp.gate_proj.weight	DENSE_MLP_WEIGHT	0	model-00001-of-00005.safetensors	BF16	12288x4096	100663296
Qwen3-8B	Qwen/Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	model.layers.0.mlp.up_proj.weight	DENSE_MLP_WEIGHT	0	model-00001-of-00005.safetensors	BF16	12288x4096	100663296
Qwen3-8B	Qwen/Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	model.layers.0.post_attention_layernorm.weight	NORM_WEIGHT	0	model-00001-of-00005.safetensors	BF16	4096	8192
Qwen3-8B	Qwen/Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	model.layers.0.self_attn.k_norm.weight	ATTENTION_WEIGHT	0	model-00001-of-00005.safetensors	BF16	128	256
Qwen3-8B	Qwen/Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	model.layers.0.self_attn.k_proj.weight	ATTENTION_WEIGHT	0	model-00001-of-00005.safetensors	BF16	1024x4096	8388608
Qwen3-8B	Qwen/Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	model.layers.0.self_attn.o_proj.weight	ATTENTION_WEIGHT	0	model-00001-of-00005.safetensors	BF16	4096x4096	33554432
Qwen3-8B	Qwen/Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	model.layers.0.self_attn.q_norm.weight	ATTENTION_WEIGHT	0	model-00001-of-00005.safetensors	BF16	128	256
Qwen3-8B	Qwen/Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	model.layers.0.self_attn.q_proj.weight	ATTENTION_WEIGHT	0	model-00001-of-00005.safetensors	BF16	4096x4096	33554432
Qwen3-8B	Qwen/Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	model.layers.0.self_attn.v_proj.weight	ATTENTION_WEIGHT	0	model-00001-of-00005.safetensors	BF16	1024x4096	8388608
Qwen3-8B	Qwen/Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	model.layers.1.input_layernorm.weight	NORM_WEIGHT	1	model-00001-of-00005.safetensors	BF16	4096	8192
Qwen3-8B	Qwen/Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	model.layers.1.mlp.down_proj.weight	DENSE_MLP_WEIGHT	1	model-00001-of-00005.safetensors	BF16	4096x12288	100663296
Qwen3-8B	Qwen/Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	model.layers.1.mlp.gate_proj.weight	DENSE_MLP_WEIGHT	1	model-00001-of-00005.safetensors	BF16	12288x4096	100663296
Qwen3-8B	Qwen/Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	model.layers.1.mlp.up_proj.weight	DENSE_MLP_WEIGHT	1	model-00001-of-00005.safetensors	BF16	12288x4096	100663296
Qwen3-8B	Qwen/Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	model.layers.1.post_attention_layernorm.weight	NORM_WEIGHT	1	model-00001-of-00005.safetensors	BF16	4096	8192
Qwen3-8B	Qwen/Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	model.layers.1.self_attn.k_norm.weight	ATTENTION_WEIGHT	1	model-00001-of-00005.safetensors	BF16	128	256
Qwen3-8B	Qwen/Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	model.layers.1.self_attn.k_proj.weight	ATTENTION_WEIGHT	1	model-00001-of-00005.safetensors	BF16	1024x4096	8388608
Qwen3-8B	Qwen/Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	model.layers.1.self_attn.o_proj.weight	ATTENTION_WEIGHT	1	model-00001-of-00005.safetensors	BF16	4096x4096	33554432
Qwen3-8B	Qwen/Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	model.layers.1.self_attn.q_norm.weight	ATTENTION_WEIGHT	1	model-00001-of-00005.safetensors	BF16	128	256
Qwen3-8B	Qwen/Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	model.layers.1.self_attn.q_proj.weight	ATTENTION_WEIGHT	1	model-00001-of-00005.safetensors	BF16	4096x4096	33554432
