kind	path_or_identifier	binding	label	use_and_limit
framework_c9_start	git:hrl/vm-m4b-speculative-v0	5f31abad2b277f73bc8a0aba0778fbb621257c60	EXISTING_MODEL_FACT	C9 handoff source and authoritative documentation head before C9 closeout
framework_c8_closeout	git:hrl/vm-m4b-speculative-v0	468fe62ddc1c4d1786133072b540e52e0d8bdc23	EXISTING_MODEL_FACT	C8 closed risk audit that C9 resolves; no C8 evidence is relabeled paper-exact
core_frozen	git:swayhrl/gpgpu-sim:hrl/vm-m4b-speculative-v0	c21137bcb86010215c008292f272aacefac175d3	EXISTING_MODEL_FACT	read-only source/config contract; Core status clean and no Core file changed
c9_handoff	docs/vm_tlb/codex_handoff/spec_m4b/C9_SEGMENT_SUBENTRY_ARCHITECTURE_DECISION.md	sha256:d84dc2cb51b5f48c336d2a6e33b6c87f3b4b8192162fd62eafa17b38f3332b46	USER_APPROVED_DIRECTION	mandatory decisions, boundaries and deliverables
c9_acceptance	docs/vm_tlb/codex_handoff/spec_m4b/C9_ACCEPTANCE_MATRIX.md	sha256:600bf83707c365843af65f05095fbc55f06a10f7de9a2a152c12a733d978d5ec	USER_APPROVED_DIRECTION	C9-A through C9-Q acceptance requirements
paper_spec	docs/vm_tlb/paper_specs/SEGMENTATION_LLM_2026.md	sha256:4577b14ae1a595f0fd27d7a6173ac78c6f7dc609666f0217ee0fca67d92330e6	PAPER_SPEC	contiguous read-only weights, base/limit/offset, parallel lookup, small 2--8 model count and baseline facts; unknowns remain unknown
c8_pack	docs/vm_tlb/review_packs/M4B_SPECULATIVE_DEVELOPMENT/C8_HARDWARE_COST_AND_MODEL_RISK_AUDIT/FINAL_REPORT.md	sha256:544cbc8fce14f3d4ed58e27daf0c275335d9b8649e98d4509a3548b7bd856eb3	EXISTING_MODEL_FACT	identity mapping/object map/port/lifecycle/subentry budget risks resolved by explicit C9 choices
c1_c3_c4_c7	C1_SUBENTRY_SEMANTICS_AUDIT.md; C3_WEIGHT_SEGMENTATION_STATE_MACHINE.md; C4_BOUNDED_REPLAY.md; C7_SPECULATIVE_CANDIDATE_OPPORTUNITY_ANALYSIS.md	C8 provenance-bound evidence	EXISTING_MODEL_FACT	historical software semantics and opportunity only; no post-C10/C5 performance conclusion
a_checkpoint	git object 73d25ebbdd96833ee1ddb8ea42b9017cefbceb75; M4C_C3_PROGRESS_CHECKPOINT_20260907	read-only git show only	EXISTING_MODEL_FACT	motivation/context only; no A/C metric pooling, calibration, parameter tuning, worktree, process or scratch access
scope_boundary	Window A/B, Core functional code, simulator/build/trace/PPA	untouched	USER_APPROVED_DIRECTION	C9 is design-only; only Framework documentation created
